endotype	rank	gene	weight
endotype_3	29	AGT	7.196654092401845
endotype_3	30	ARG1	7.138101604895235
endotype_3	31	TDO2	7.119971263143856
endotype_3	32	A2M	7.058801634738122
endotype_3	33	SLC2A2	6.995470417994636
endotype_3	34	HNRNPA2B1	6.987322500590148
endotype_3	35	MST1	6.968952077145913
endotype_3	36	HABP2	6.965969084267284
endotype_3	37	PCSK6	6.872670435960968
endotype_3	38	HINT1	6.84820758879054
endotype_3	39	ADH6	6.809476509788893
endotype_3	40	CTSD	6.771955355549388
endotype_3	41	PROS1	6.73481845298977
endotype_3	42	RXRA	6.733424853124211
endotype_3	43	IGFBP3	6.663601744572267
endotype_3	44	PON3	6.6568915191279565
endotype_3	45	SELENBP1	6.614551000847523
endotype_3	46	HPN	6.612209251753961
endotype_3	47	APOA5	6.565373485728276
endotype_3	48	COL18A1	6.552483035547458
endotype_3	49	KLKB1	6.549654172620354
endotype_3	50	F12	6.545544323914227
endotype_3	51	GHR	6.531852651063094
endotype_3	52	C5	6.490591483607794
endotype_3	53	C8B	6.466095677607211
endotype_3	54	NR1H4	6.465149498182835
endotype_3	55	SLC27A5	6.458642876674269
endotype_3	56	ABCG5	6.420057003962903
endotype_3	57	GJB1	6.410825279350121
endotype_3	58	SCD	6.4064975021750845
endotype_3	59	CTSZ	6.401692668848065
endotype_3	60	F9	6.377639469809615
