dataset_id	outcome	feature	model	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	fdr
GSE163211	fibrotic_NASH_F1_F4_vs_others	endotype_1	unadjusted	OR_per_1SD	1.6168579725614043	1.2502483037614225	2.0909684064920215	0.0002498968689546708	318	82	0.0007496906068640124
GSE163211	fibrotic_NASH_F1_F4_vs_others	endotype_2	unadjusted	OR_per_1SD	0.9424768457299633	0.7344900936488008	1.2093595440128933	0.6414220413262444	318	82	0.6414220413262444
GSE163211	fibrotic_NASH_F1_F4_vs_others	endotype_3	unadjusted	OR_per_1SD	0.8199937086457296	0.640085073625736	1.0504692421740967	0.11632419413978402	318	82	0.17448629120967604
GSE163211	fibrotic_NASH_F1_F4_vs_others	endotype_1	adjusted	OR_per_1SD	1.5146588940954622	1.1548035772739906	1.9866508994353116	0.00270002715746268	318	82	0.00810008147238804
GSE163211	fibrotic_NASH_F1_F4_vs_others	endotype_2	adjusted	OR_per_1SD	0.9942899209828847	0.7579257143363878	1.3043658874059239	0.9670179213416574	318	82	0.9670179213416574
GSE163211	fibrotic_NASH_F1_F4_vs_others	endotype_3	adjusted	OR_per_1SD	0.8193613019943223	0.6276434950270758	1.0696405659025745	0.14292991965077897	318	82	0.21439487947616848
