endotype	collection	gene_set	overlap_size	signature_size_in_universe	gene_set_size_in_universe	universe_size	overlap_fraction	fold_enrichment	pvalue	leading_genes	fdr
endotype_1	Reactome 2022	Platelet Degranulation R-HSA-114608	14	60	32	800	0.23333333333333334	5.833333333333334	6.558150012551035e-09	APOA1,FGA,FGB,FGG,HRG,PLG,PROS1,SERPINA1,SERPINF2,SERPING1,TGFB1,THBS1,TIMP3,TTR	6.295824012048995e-07
endotype_1	Reactome 2022	Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005	14	60	32	800	0.23333333333333334	5.833333333333334	6.558150012551035e-09	APOA1,FGA,FGB,FGG,HRG,PLG,PROS1,SERPINA1,SERPINF2,SERPING1,TGFB1,THBS1,TIMP3,TTR	6.295824012048995e-07
endotype_1	Reactome 2022	Platelet Activation, Signaling And Aggregation R-HSA-76002	14	60	36	800	0.23333333333333334	5.185185185185185	4.200792512969223e-08	APOA1,FGA,FGB,FGG,HRG,PLG,PROS1,SERPINA1,SERPINF2,SERPING1,TGFB1,THBS1,TIMP3,TTR	2.768667373502411e-06
endotype_1	MSigDB Hallmark 2020	Coagulation	18	60	68	800	0.3	3.5294117647058827	3.4736372943085007e-07	A2M,APOA1,C9,CPN1,F12,F2,FGA,FGG,HPN,HRG,MST1,PLG,PROS1,SERPINA1,SERPING1,THBS1,TIMP3,TMPRSS6	1.5561895078502082e-05
endotype_1	Reactome 2022	Hemostasis R-HSA-109582	16	60	59	800	0.26666666666666666	3.615819209039548	1.3073942840491796e-06	APOA1,CD44,F12,FGA,FGB,FGG,HRG,PLG,PROS1,SERPINA1,SERPINF2,SERPING1,TGFB1,THBS1,TIMP3,TTR	3.9934952676411304e-05
endotype_1	Reactome 2022	Scavenging By Class A Receptors R-HSA-3000480	6	60	9	800	0.1	8.888888888888888	9.829240091651037e-06	APOA1,APOE,COL1A1,COL1A2,COL3A1,COL4A2	0.0002359017621996249
endotype_1	Reactome 2022	Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782	6	60	12	800	0.1	6.666666666666666	9.03092610324394e-05	APOA1,APOE,COL1A1,COL1A2,COL3A1,COL4A2	0.0017339378118228365
endotype_1	Reactome 2022	Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877	6	60	13	800	0.1	6.153846153846154	0.00015795483533351444	F12,FGA,FGB,FGG,PROS1,SERPING1	0.002527277365336231
endotype_1	Reactome 2022	Common Pathway Of Fibrin Clot Formation R-HSA-140875	4	60	6	800	0.06666666666666667	8.88888888888889	0.000384611289956416	FGA,FGB,FGG,PROS1	0.004970361285590607
endotype_1	Reactome 2022	Extracellular Matrix Organization R-HSA-1474244	19	60	123	800	0.31666666666666665	2.059620596205962	0.0007397760830675885	ADAM15,BGN,CD44,COL1A1,COL1A2,COL3A1,COL4A2,CTSD,FBLN2,FGA,FGB,FGG,LAMA4,LAMA5,PLG,TGFB1,THBS1,TMPRSS6,TTR	0.008721570663533676
endotype_1	Reactome 2022	Integrin Cell Surface Interactions R-HSA-216083	6	60	18	800	0.1	4.444444444444444	0.001266503055848551	CD44,COL4A2,FGA,FGB,FGG,THBS1	0.013093693131234251
endotype_1	Reactome 2022	Non-integrin membrane-ECM Interactions R-HSA-3000171	5	60	14	800	0.08333333333333333	4.761904761904762	0.0023799462297551923	LAMA4,LAMA5,TGFB1,THBS1,TTR	0.0219085461150067
endotype_1	Reactome 2022	Amyloid Fiber Formation R-HSA-977225	4	60	9	800	0.06666666666666667	5.925925925925926	0.002717555762890744	APOA1,APOE,FGA,TTR	0.022545647810649137
endotype_1	Reactome 2022	Integrin Signaling R-HSA-354192	3	60	5	800	0.05	8.0	0.0036055732819790373	FGA,FGB,FGG	0.027849945350458767
endotype_1	MSigDB Hallmark 2020	Epithelial Mesenchymal Transition	11	60	62	800	0.18333333333333332	2.365591397849462	0.004145769517474813	BGN,CD44,COL1A1,COL1A2,COL3A1,COL4A2,CXCL12,FBLN2,TGFB1,THBS1,TIMP3	0.03165860358798948
endotype_1	Reactome 2022	MAP2K And MAPK Activation R-HSA-5674135	3	60	6	800	0.05	6.666666666666666	0.006826535274001659	FGA,FGB,FGG	0.047785746918011615
endotype_1	Reactome 2022	Platelet Aggregation (Plug Formation) R-HSA-76009	3	60	6	800	0.05	6.666666666666666	0.006826535274001659	FGA,FGB,FGG	0.047785746918011615
endotype_1	Reactome 2022	Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948	3	60	6	800	0.05	6.666666666666666	0.006826535274001659	FGA,FGB,FGG	0.047785746918011615
endotype_1	MSigDB Hallmark 2020	Bile Acid Metabolism	4	60	12	800	0.06666666666666667	4.444444444444445	0.008988129176416112	APOA1,NR1H4,SLC27A5,TTR	0.06040022806551627
endotype_1	Reactome 2022	Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955	3	60	7	800	0.05	5.714285714285714	0.011311136636950034	FGA,FGB,FGG	0.07308734442336945
endotype_1	Reactome 2022	Signaling By RAF1 Mutants R-HSA-9656223	3	60	7	800	0.05	5.714285714285714	0.011311136636950034	FGA,FGB,FGG	0.07308734442336945
endotype_1	MSigDB Hallmark 2020	Myogenesis	5	60	20	800	0.08333333333333333	3.3333333333333335	0.01295283820467531	ABLIM1,COL1A1,COL3A1,COL4A2,TGFB1	0.08134866610786737
endotype_1	Reactome 2022	Dissolution Of Fibrin Clot R-HSA-75205	3	60	8	800	0.05	5.0	0.01713829079127791	HRG,PLG,SERPINF2	0.09518125133668394
endotype_1	Reactome 2022	IRAK4 Deficiency (TLR2/4) R-HSA-5603041	3	60	8	800	0.05	5.0	0.01713829079127791	FGA,FGB,FGG	0.09518125133668394
endotype_1	Reactome 2022	Intrinsic Pathway Of Fibrin Clot Formation R-HSA-140837	3	60	8	800	0.05	5.0	0.01713829079127791	F12,PROS1,SERPING1	0.09518125133668394
endotype_1	Reactome 2022	MyD88 Deficiency (TLR2/4) R-HSA-5602498	3	60	8	800	0.05	5.0	0.01713829079127791	FGA,FGB,FGG	0.09518125133668394
endotype_1	Reactome 2022	Signaling By BRAF And RAF1 Fusions R-HSA-6802952	3	60	8	800	0.05	5.0	0.01713829079127791	FGA,FGB,FGG	0.09518125133668394
endotype_1	Reactome 2022	Cell Surface Interactions At Vascular Wall R-HSA-202733	3	60	9	800	0.05	4.444444444444444	0.024348658305471477	CD44,PROS1,TGFB1	0.1221067043378868
endotype_1	Reactome 2022	Metabolism Of Fat-Soluble Vitamins R-HSA-6806667	3	60	9	800	0.05	4.444444444444444	0.024348658305471477	APOA1,APOE,TTR	0.1221067043378868
endotype_1	Reactome 2022	Oncogenic MAPK Signaling R-HSA-6802957	3	60	9	800	0.05	4.444444444444444	0.024348658305471477	FGA,FGB,FGG	0.1221067043378868
endotype_1	Reactome 2022	Retinoid Metabolism And Transport R-HSA-975634	3	60	9	800	0.05	4.444444444444444	0.024348658305471477	APOA1,APOE,TTR	0.1221067043378868
endotype_1	Reactome 2022	ECM Proteoglycans R-HSA-3000178	4	60	16	800	0.06666666666666667	3.3333333333333335	0.026310039739722565	BGN,LAMA4,LAMA5,TGFB1	0.13000254930215854
endotype_1	Reactome 2022	NR1H2 And NR1H3-mediated Signaling R-HSA-9024446	3	60	10	800	0.05	4.0	0.03295109424528777	ABCG5,APOE,PCK1	0.15593757276643228
endotype_1	Reactome 2022	Regulation Of TLR By Endogenous Ligand R-HSA-5686938	3	60	10	800	0.05	4.0	0.03295109424528777	FGA,FGB,FGG	0.15593757276643228
endotype_1	Reactome 2022	Visual Phototransduction R-HSA-2187338	3	60	10	800	0.05	4.0	0.03295109424528777	APOA1,APOE,TTR	0.15593757276643228
endotype_1	Reactome 2022	Signaling By Receptor Tyrosine Kinases R-HSA-9006934	10	60	73	800	0.16666666666666666	1.8264840182648403	0.03772155111988024	APOE,COL4A2,CXCL12,FGFR2,HPN,LAMA4,LAMA5,PCSK6,PLG,THBS1	0.1760339052261078
endotype_1	Reactome 2022	Post-translational Protein Phosphorylation R-HSA-8957275	5	60	26	800	0.08333333333333333	2.5641025641025643	0.038718146688092696	APOA1,APOE,FGA,FGG,SERPINA1	0.17694593337889566
endotype_1	Reactome 2022	Vesicle-mediated Transport R-HSA-5653656	7	60	44	800	0.11666666666666667	2.121212121212121	0.03938741274008693	APOA1,APOE,COL1A1,COL1A2,COL3A1,COL4A2,SERPINA1	0.17694593337889566
endotype_1	Reactome 2022	Plasma Lipoprotein Remodeling R-HSA-8963899	3	60	11	800	0.05	3.6363636363636367	0.04292828656156205	APOA1,APOE,PCSK6	0.18374400362655857
endotype_1	Reactome 2022	Sensory Perception R-HSA-9709957	3	60	11	800	0.05	3.6363636363636367	0.04292828656156205	APOA1,APOE,TTR	0.18374400362655857
endotype_1	Reactome 2022	Signaling By MET R-HSA-6806834	3	60	11	800	0.05	3.6363636363636367	0.04292828656156205	HPN,LAMA4,LAMA5	0.18374400362655857
endotype_1	Reactome 2022	Bile Acid And Bile Salt Metabolism R-HSA-194068	2	60	5	800	0.03333333333333333	5.333333333333333	0.04775496610366842	NR1H4,SLC27A5	0.18766863872318817
