endotype	collection	gene_set	overlap_size	signature_size_in_universe	gene_set_size_in_universe	universe_size	overlap_fraction	fold_enrichment	pvalue	leading_genes	fdr
endotype_1	Reactome 2022	Defects Of Contact Activation System (CAS) And Kallikrein/Kinin System (KKS) R-HSA-9651496	2	60	5	800	0.03333333333333333	5.333333333333333	0.04775496610366842	F12,SERPING1	0.18766863872318817
endotype_1	Reactome 2022	MET Activates PTK2 Signaling R-HSA-8874081	2	60	5	800	0.03333333333333333	5.333333333333333	0.04775496610366842	LAMA4,LAMA5	0.18766863872318817
endotype_1	Reactome 2022	Nuclear Signaling By ERBB4 R-HSA-1251985	2	60	5	800	0.03333333333333333	5.333333333333333	0.04775496610366842	APOE,CXCL12	0.18766863872318817
endotype_1	Reactome 2022	Synthesis Of Bile Acids And Bile Salts R-HSA-192105	2	60	5	800	0.03333333333333333	5.333333333333333	0.04775496610366842	NR1H4,SLC27A5	0.18766863872318817
endotype_1	Reactome 2022	Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368	2	60	5	800	0.03333333333333333	5.333333333333333	0.04775496610366842	NR1H4,SLC27A5	0.18766863872318817
endotype_1	Reactome 2022	ER-Phagosome Pathway R-HSA-1236974	3	60	12	800	0.05	3.333333333333333	0.05424167235661067	FGA,FGB,FGG	0.20710456717978618
endotype_1	Reactome 2022	Collagen Chain Trimerization R-HSA-8948216	4	60	20	800	0.06666666666666667	2.6666666666666665	0.05586475985646528	COL1A1,COL1A2,COL3A1,COL4A2	0.2109051608064307
endotype_1	Reactome 2022	Metabolism Of Vitamins And Cofactors R-HSA-196854	4	60	20	800	0.06666666666666667	2.6666666666666665	0.05586475985646528	APOA1,APOE,CYB5A,TTR	0.2109051608064307
endotype_1	Reactome 2022	Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426	6	60	39	800	0.1	2.0512820512820515	0.06388491243016758	APOA1,APOE,FGA,FGG,PLG,SERPINA1	0.23509379477145229
endotype_1	Reactome 2022	Signaling By Nuclear Receptors R-HSA-9006931	5	60	30	800	0.08333333333333333	2.2222222222222223	0.06652078862826614	ABCG5,APOE,CTSD,CXCL12,PCK1	0.23509379477145229
endotype_1	Reactome 2022	Diseases Associated With TLR Signaling Cascade R-HSA-5602358	3	60	13	800	0.05	3.076923076923077	0.06683571045231712	FGA,FGB,FGG	0.23509379477145229
endotype_1	Reactome 2022	ABC Transporter Disorders R-HSA-5619084	2	60	6	800	0.03333333333333333	4.444444444444445	0.06821918151850179	ABCG5,APOA1	0.23509379477145229
endotype_1	Reactome 2022	Estrogen-dependent Gene Expression R-HSA-9018519	2	60	6	800	0.03333333333333333	4.444444444444445	0.06821918151850179	CTSD,CXCL12	0.23509379477145229
endotype_1	Reactome 2022	MET Promotes Cell Motility R-HSA-8875878	2	60	6	800	0.03333333333333333	4.444444444444445	0.06821918151850179	LAMA4,LAMA5	0.23509379477145229
endotype_1	Reactome 2022	Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090	5	60	31	800	0.08333333333333333	2.150537634408602	0.07486329282506818	COL1A1,COL1A2,COL3A1,COL4A2,LAMA4	0.2566741468288052
endotype_1	Reactome 2022	ABC-family Proteins Mediated Transport R-HSA-382556	2	60	7	800	0.03333333333333333	3.8095238095238093	0.09098239947112248	ABCG5,APOA1	0.29970672766957995
endotype_1	Reactome 2022	NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569	2	60	7	800	0.03333333333333333	3.8095238095238093	0.09098239947112248	ABCG5,APOE	0.29970672766957995
endotype_1	Reactome 2022	Signaling By ERBB4 R-HSA-1236394	2	60	7	800	0.03333333333333333	3.8095238095238093	0.09098239947112248	APOE,CXCL12	0.29970672766957995
endotype_1	Reactome 2022	Biological Oxidations R-HSA-211859	3	60	15	800	0.05	2.6666666666666665	0.09558037608656207	CYP2A6,GGT5,NR1H4	0.3117961783017947
endotype_1	MSigDB Hallmark 2020	Complement	8	60	64	800	0.13333333333333333	1.6666666666666667	0.09607477800524804	C9,COL4A2,CTSD,F2,PLG,SERPINA1,SERPING1,TMPRSS6	0.31189493149529796
endotype_1	Reactome 2022	Antigen processing-Cross Presentation R-HSA-1236975	3	60	16	800	0.05	2.5	0.1115658383204481	FGA,FGB,FGG	0.346791307093212
endotype_1	Reactome 2022	Plasma Lipoprotein Assembly, Remodeling, And Clearance R-HSA-174824	3	60	16	800	0.05	2.5	0.1115658383204481	APOA1,APOE,PCSK6	0.346791307093212
endotype_1	MSigDB Hallmark 2020	Xenobiotic Metabolism	5	60	35	800	0.08333333333333333	1.9047619047619047	0.11364556116717617	APOE,CYB5A,HRG,PLG,PROS1	0.346791307093212
endotype_1	Reactome 2022	Cytochrome P450 - Arranged By Substrate Type R-HSA-211897	2	60	8	800	0.03333333333333333	3.3333333333333335	0.11559710236440399	CYP2A6,NR1H4	0.346791307093212
endotype_1	Reactome 2022	Disorders Of Transmembrane Transporters R-HSA-5619115	2	60	8	800	0.03333333333333333	3.3333333333333335	0.11559710236440399	ABCG5,APOA1	0.346791307093212
endotype_1	Reactome 2022	Laminin Interactions R-HSA-3000157	2	60	8	800	0.03333333333333333	3.3333333333333335	0.11559710236440399	LAMA4,LAMA5	0.346791307093212
endotype_1	Reactome 2022	Plasma Lipoprotein Clearance R-HSA-8964043	2	60	8	800	0.03333333333333333	3.3333333333333335	0.11559710236440399	APOA1,APOE	0.346791307093212
endotype_1	Reactome 2022	Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814	4	60	27	800	0.06666666666666667	1.9753086419753088	0.13691457746471625	COL1A1,COL1A2,COL3A1,COL4A2	0.3964492935424875
endotype_1	Reactome 2022	RAF/MAP Kinase Cascade R-HSA-5673001	4	60	27	800	0.06666666666666667	1.9753086419753088	0.13691457746471625	FGA,FGB,FGFR2,FGG	0.3964492935424875
endotype_1	Reactome 2022	Drug ADME R-HSA-9748784	2	60	9	800	0.03333333333333333	2.962962962962963	0.14166808638124187	GGT5,PCK1	0.3964492935424875
endotype_1	Reactome 2022	Molecules Associated With Elastic Fibres R-HSA-2129379	2	60	9	800	0.03333333333333333	2.962962962962963	0.14166808638124187	FBLN2,TGFB1	0.3964492935424875
endotype_1	MSigDB Hallmark 2020	TGF-beta Signaling	2	60	9	800	0.03333333333333333	2.962962962962963	0.14166808638124187	TGFB1,THBS1	0.3964492935424875
endotype_1	MSigDB Hallmark 2020	heme Metabolism	2	60	9	800	0.03333333333333333	2.962962962962963	0.14166808638124187	ASNS,SELENBP1	0.3964492935424875
endotype_1	Reactome 2022	Metabolism Of Proteins R-HSA-392499	15	60	152	800	0.25	1.3157894736842104	0.14484377106183494	ADAMTS10,APOA1,APOE,CTSD,FGA,FGG,MRPL18,NR1H4,PLG,PROS1,RPN2,SERPINA1,TGFB1,THBS1,TTR	0.3964492935424875
endotype_1	Reactome 2022	Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169	3	60	18	800	0.05	2.222222222222222	0.14630866785496563	FGA,FGB,FGG	0.3964492935424875
endotype_1	MSigDB Hallmark 2020	Estrogen Response Late	3	60	18	800	0.05	2.222222222222222	0.14630866785496563	CD44,CXCL12,SERPINA1	0.3964492935424875
endotype_1	Reactome 2022	Metabolism Of Carbohydrates R-HSA-71387	3	60	18	800	0.05	2.222222222222222	0.14630866785496563	BGN,CD44,PCK1	0.3964492935424875
endotype_1	Reactome 2022	MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058	3	60	18	800	0.05	2.222222222222222	0.14630866785496563	FGA,FGB,FGG	0.3964492935424875
endotype_1	Reactome 2022	Collagen Formation R-HSA-1474290	5	60	39	800	0.08333333333333333	1.7094017094017095	0.1604131660667789	COL1A1,COL1A2,COL3A1,COL4A2,LAMA4	0.4329222795055238
endotype_1	Reactome 2022	Post-translational Protein Modification R-HSA-597592	11	60	107	800	0.18333333333333332	1.3707165109034267	0.16349723991645707	ADAMTS10,APOA1,APOE,FGA,FGG,NR1H4,PROS1,RPN2,SERPINA1,TGFB1,THBS1	0.43307407911082
endotype_1	Reactome 2022	Signal Transduction R-HSA-162582	18	60	192	800	0.3	1.25	0.1644824144473768	ABCG5,APOE,COL1A2,COL4A2,CTSD,CXCL12,FGA,FGB,FGFR2,FGG,HPN,LAMA4,LAMA5,PCK1,PCSK6,PLG,TGFB1,THBS1	0.43307407911082
endotype_1	MSigDB Hallmark 2020	Estrogen Response Early	3	60	19	800	0.05	2.1052631578947367	0.16487609766662653	ABLIM1,CD44,CXCL12	0.43307407911082
endotype_1	Reactome 2022	Signaling By PDGF R-HSA-186797	3	60	19	800	0.05	2.1052631578947367	0.16487609766662653	COL4A2,PLG,THBS1	0.43307407911082
endotype_1	MSigDB Hallmark 2020	Hypoxia	4	60	29	800	0.06666666666666667	1.8390804597701151	0.16593563030682332	BGN,KLF6,PCK1,SELENBP1	0.43307407911082
endotype_1	Reactome 2022	MAPK1/MAPK3 Signaling R-HSA-5684996	4	60	29	800	0.06666666666666667	1.8390804597701151	0.16593563030682332	FGA,FGB,FGFR2,FGG	0.43307407911082
endotype_1	Reactome 2022	Glycosaminoglycan Metabolism R-HSA-1630316	2	60	10	800	0.03333333333333333	2.6666666666666665	0.16884733441523042	BGN,CD44	0.43307407911082
endotype_1	Reactome 2022	Regulation Of Complement Cascade R-HSA-977606	2	60	10	800	0.03333333333333333	2.6666666666666665	0.16884733441523042	PROS1,SERPING1	0.43307407911082
endotype_1	Reactome 2022	Gene Expression (Transcription) R-HSA-74160	8	60	75	800	0.13333333333333333	1.4222222222222223	0.18969273373228362	APOE,COL1A1,COL1A2,NR1H4,PCK1,POLRMT,TGFB1,THBS1	0.48103213987960225
endotype_1	Reactome 2022	Metabolism R-HSA-1430728	12	60	123	800	0.2	1.3008130081300813	0.19552348726104918	APOA1,APOE,ASNS,BGN,CD44,CYB5A,CYP2A6,GGT5,NR1H4,PCK1,SLC27A5,TTR	0.48628426423964216
endotype_1	Reactome 2022	Translation R-HSA-72766	2	60	11	800	0.03333333333333333	2.4242424242424243	0.19682934504937896	MRPL18,RPN2	0.48628426423964216
endotype_1	Reactome 2022	Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016	3	60	21	800	0.05	1.9047619047619049	0.20392616211596787	FGA,FGB,FGG	0.5001400764304029
endotype_1	Reactome 2022	Disease R-HSA-1643685	15	60	161	800	0.25	1.2422360248447206	0.20560257613526975	ABCG5,ADAMTS10,APOA1,BGN,F12,FGA,FGB,FGFR2,FGG,GGT5,RPN2,SERPING1,TGFB1,THBS1,TTR	0.5005975766771785
endotype_1	Reactome 2022	Elastic Fibre Formation R-HSA-1566948	2	60	12	800	0.03333333333333333	2.2222222222222223	0.22534687958793267	FBLN2,TGFB1	0.5369968194435842
endotype_1	Reactome 2022	Phase I - Functionalization Of Compounds R-HSA-211945	2	60	12	800	0.03333333333333333	2.2222222222222223	0.22534687958793267	CYP2A6,NR1H4	0.5369968194435842
endotype_1	Reactome 2022	Innate Immune System R-HSA-168249	9	60	92	800	0.15	1.3043478260869565	0.24243767433669616	CD44,CTSD,FGA,FGB,FGG,PROS1,SERPINA1,SERPING1,TTR	0.5698591872577867
endotype_1	Reactome 2022	MAPK Family Signaling Cascades R-HSA-5683057	4	60	34	800	0.06666666666666667	1.5686274509803924	0.24658562380056878	FGA,FGB,FGFR2,FGG	0.5733755681452671
endotype_1	Reactome 2022	Complement Cascade R-HSA-166658	2	60	13	800	0.03333333333333333	2.0512820512820515	0.25416709215804456	PROS1,SERPING1	0.586942563334041
endotype_1	Reactome 2022	Degradation Of Extracellular Matrix R-HSA-1474228	7	60	70	800	0.11666666666666667	1.3333333333333333	0.26441624775985706	ADAM15,CD44,CTSD,LAMA4,LAMA5,PLG,TMPRSS6	0.6064427252376243
endotype_1	Reactome 2022	Generic Transcription Pathway R-HSA-212436	7	60	70	800	0.11666666666666667	1.3333333333333333	0.26441624775985706	APOE,COL1A1,COL1A2,NR1H4,PCK1,TGFB1,THBS1	0.6064427252376243
endotype_1	MSigDB Hallmark 2020	Apoptosis	4	60	36	800	0.06666666666666667	1.4814814814814814	0.2811274769921832	BGN,CD44,F2,TIMP3	0.6184349637858445
endotype_1	Reactome 2022	Metabolism Of Steroids R-HSA-8957322	2	60	14	800	0.03333333333333333	1.9047619047619047	0.28308801068059325	NR1H4,SLC27A5	0.6184349637858445
endotype_1	Reactome 2022	RNA Polymerase II Transcription R-HSA-73857	7	60	73	800	0.11666666666666667	1.2785388127853883	0.3018117160531927	APOE,COL1A1,COL1A2,NR1H4,PCK1,TGFB1,THBS1	0.6184349637858445
endotype_1	MSigDB Hallmark 2020	IL-6/JAK/STAT3 Signaling	3	60	26	800	0.05	1.5384615384615385	0.308507719261228	A2M,CD44,TGFB1	0.6184349637858445
endotype_1	Reactome 2022	Asparagine N-linked Glycosylation R-HSA-446203	2	60	15	800	0.03333333333333333	1.7777777777777777	0.31193533907967513	RPN2,SERPINA1	0.6184349637858445
endotype_1	Reactome 2022	Signaling By TGF-beta Receptor Complex R-HSA-170834	2	60	15	800	0.03333333333333333	1.7777777777777777	0.31193533907967513	COL1A2,TGFB1	0.6184349637858445
endotype_1	Reactome 2022	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	5	60	50	800	0.08333333333333333	1.3333333333333333	0.3182195644711103	FGA,FGB,FGFR2,FGG,TGFB1	0.6184349637858445
endotype_1	Reactome 2022	ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	ASNS	0.6184349637858445
endotype_1	Reactome 2022	Anchoring Fibril Formation R-HSA-2214320	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	LAMA4	0.6184349637858445
endotype_1	Reactome 2022	GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	BGN	0.6184349637858445
endotype_1	Reactome 2022	Gamma-carboxylation Of Protein Precursors R-HSA-159740	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	PROS1	0.6184349637858445
endotype_1	Reactome 2022	Interleukin-12 Signaling R-HSA-9020591	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	HNRNPA2B1	0.6184349637858445
endotype_1	Reactome 2022	Loss Of Function Of TGFBR1 In Cancer R-HSA-3656534	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	TGFB1	0.6184349637858445
endotype_1	Reactome 2022	Netrin-1 Signaling R-HSA-373752	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	ABLIM1	0.6184349637858445
endotype_1	Reactome 2022	PERK Regulates Gene Expression R-HSA-381042	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	ASNS	0.6184349637858445
endotype_1	Reactome 2022	Regulation Of RUNX3 Expression And Activity R-HSA-8941858	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	TGFB1	0.6184349637858445
endotype_1	Reactome 2022	Removal Of Aminoterminal Propeptides From Gamma-Carboxylated Proteins R-HSA-159782	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	PROS1	0.6184349637858445
endotype_1	Reactome 2022	SMAD2/3 Phosphorylation Motif Mutants In Cancer R-HSA-3304356	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	TGFB1	0.6184349637858445
endotype_1	Reactome 2022	SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	RPN2	0.6184349637858445
endotype_1	Reactome 2022	Signaling By FGFR R-HSA-190236	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	FGFR2	0.6184349637858445
endotype_1	Reactome 2022	Signaling By NODAL R-HSA-1181150	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	PCSK6	0.6184349637858445
endotype_1	Reactome 2022	Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260	1	60	5	800	0.016666666666666666	2.6666666666666665	0.32350159754082997	APOE	0.6184349637858445
endotype_1	Reactome 2022	Toll-like Receptor Cascades R-HSA-168898	3	60	27	800	0.05	1.4814814814814816	0.329956861985792	FGA,FGB,FGG	0.6184349637858445
endotype_1	Reactome 2022	ESR-mediated Signaling R-HSA-8939211	2	60	16	800	0.03333333333333333	1.6666666666666667	0.3405595534738502	CTSD,CXCL12	0.6184349637858445
endotype_1	Reactome 2022	Signaling By TGFB Family Members R-HSA-9006936	2	60	16	800	0.03333333333333333	1.6666666666666667	0.3405595534738502	COL1A2,TGFB1	0.6184349637858445
endotype_1	MSigDB Hallmark 2020	Adipogenesis	2	60	17	800	0.03333333333333333	1.5686274509803924	0.3688332672836068	APOE,LAMA4	0.6184349637858445
endotype_1	Reactome 2022	PPARA Activates Gene Expression R-HSA-1989781	2	60	17	800	0.03333333333333333	1.5686274509803924	0.3688332672836068	APOA1,NR1H4	0.6184349637858445
endotype_1	Reactome 2022	Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206	2	60	17	800	0.03333333333333333	1.5686274509803924	0.3688332672836068	APOA1,NR1H4	0.6184349637858445
endotype_1	Reactome 2022	Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340	2	60	17	800	0.03333333333333333	1.5686274509803924	0.3688332672836068	PCK1,TGFB1	0.6184349637858445
endotype_1	MSigDB Hallmark 2020	UV Response Dn	3	60	29	800	0.05	1.3793103448275863	0.37281509841523774	COL1A1,COL1A2,COL3A1	0.6184349637858445
endotype_1	Reactome 2022	Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889	1	60	6	800	0.016666666666666666	2.2222222222222223	0.3745580807452957	PCSK6	0.6184349637858445
endotype_1	Reactome 2022	COPII-mediated Vesicle Transport R-HSA-204005	1	60	6	800	0.016666666666666666	2.2222222222222223	0.3745580807452957	SERPINA1	0.6184349637858445
endotype_1	Reactome 2022	Cargo Concentration In ER R-HSA-5694530	1	60	6	800	0.016666666666666666	2.2222222222222223	0.3745580807452957	SERPINA1	0.6184349637858445
endotype_1	Reactome 2022	Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185	1	60	6	800	0.016666666666666666	2.2222222222222223	0.3745580807452957	BGN	0.6184349637858445
endotype_1	Reactome 2022	Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841	1	60	6	800	0.016666666666666666	2.2222222222222223	0.3745580807452957	PROS1	0.6184349637858445
