alternate_discovery	component	rank	gene
GSE135251	gse135251_component_1	1	AKR1B10
GSE135251	gse135251_component_1	2	EFEMP1
GSE135251	gse135251_component_1	3	THY1
GSE135251	gse135251_component_1	4	CCL19
GSE135251	gse135251_component_1	5	ITGBL1
GSE135251	gse135251_component_1	6	HKDC1
GSE135251	gse135251_component_1	7	DTNA
GSE135251	gse135251_component_1	8	GPC3
GSE135251	gse135251_component_1	9	LOXL4
GSE135251	gse135251_component_1	10	SMOC2
GSE135251	gse135251_component_1	11	CCL21
GSE135251	gse135251_component_1	12	EPCAM
GSE135251	gse135251_component_1	13	MYH11
GSE135251	gse135251_component_1	14	MOXD1
GSE135251	gse135251_component_1	15	MGP
GSE135251	gse135251_component_1	16	DPT
GSE135251	gse135251_component_1	17	LTBP2
GSE135251	gse135251_component_1	18	SPP1
GSE135251	gse135251_component_1	19	CCDC80
GSE135251	gse135251_component_1	20	STMN2
GSE135251	gse135251_component_1	21	LAMC3
GSE135251	gse135251_component_1	22	FABP4
GSE135251	gse135251_component_1	23	KRT7
GSE135251	gse135251_component_1	24	CD24
GSE135251	gse135251_component_1	25	EEF1A2
GSE135251	gse135251_component_1	26	MMP7
GSE135251	gse135251_component_1	27	THBS2
GSE135251	gse135251_component_1	28	PDZK1IP1
GSE135251	gse135251_component_1	29	PTGDS
GSE135251	gse135251_component_1	30	FBLN1
GSE135251	gse135251_component_1	31	SPINT1
GSE135251	gse135251_component_1	32	XIST
GSE135251	gse135251_component_1	33	VCAN
GSE135251	gse135251_component_1	34	CXCL6
GSE135251	gse135251_component_1	35	CDH6
GSE135251	gse135251_component_1	36	PLCXD3
GSE135251	gse135251_component_1	37	SOX9
GSE135251	gse135251_component_1	38	LUM
GSE135251	gse135251_component_1	39	MMP2
GSE135251	gse135251_component_1	40	EPHA3
GSE135251	gse135251_component_1	41	AEBP1
GSE135251	gse135251_component_1	42	CDH11
GSE135251	gse135251_component_1	43	AQP1
GSE135251	gse135251_component_1	44	COL16A1
GSE135251	gse135251_component_1	45	EMP1
GSE135251	gse135251_component_1	46	DCDC2
GSE135251	gse135251_component_1	47	CHST4
GSE135251	gse135251_component_1	48	CHI3L1
GSE135251	gse135251_component_1	49	PODN
GSE135251	gse135251_component_1	50	CFTR
GSE135251	gse135251_component_1	51	SPON1
GSE135251	gse135251_component_1	52	COL1A1
GSE135251	gse135251_component_1	53	SEMA3G
GSE135251	gse135251_component_1	54	BICC1
GSE135251	gse135251_component_1	55	VWF
GSE135251	gse135251_component_1	56	TNFRSF12A
GSE135251	gse135251_component_1	57	KLHL29
GSE135251	gse135251_component_1	58	CXCL10
GSE135251	gse135251_component_1	59	SOX4
GSE135251	gse135251_component_1	60	CLIC6
GSE135251	gse135251_component_2	1	CFHR1
GSE135251	gse135251_component_2	2	GSTA2
GSE135251	gse135251_component_2	3	HMGCS1
GSE135251	gse135251_component_2	4	MBL2
GSE135251	gse135251_component_2	5	CFHR3
GSE135251	gse135251_component_2	6	UHMK1
GSE135251	gse135251_component_2	7	LEPR
GSE135251	gse135251_component_2	8	UGT1A4
GSE135251	gse135251_component_2	9	MTND2P28
GSE135251	gse135251_component_2	10	C4A
GSE135251	gse135251_component_2	11	RELN
GSE135251	gse135251_component_2	12	TMED7
GSE135251	gse135251_component_2	13	CD163
GSE135251	gse135251_component_2	14	SLCO1B3
GSE135251	gse135251_component_2	15	CRP
GSE135251	gse135251_component_2	16	FADS1
GSE135251	gse135251_component_2	17	MRC1
GSE135251	gse135251_component_2	18	RORA
GSE135251	gse135251_component_2	19	MBNL2
GSE135251	gse135251_component_2	20	FKBP5
GSE135251	gse135251_component_2	21	TMEM106B
GSE135251	gse135251_component_2	22	IGF1
GSE135251	gse135251_component_2	23	C1QB
GSE135251	gse135251_component_2	24	ABCB11
GSE135251	gse135251_component_2	25	LYVE1
GSE135251	gse135251_component_2	26	LYPLA1
GSE135251	gse135251_component_2	27	UGT2A3
GSE135251	gse135251_component_2	28	CD5L
GSE135251	gse135251_component_2	29	CXADR
GSE135251	gse135251_component_2	30	MARCO
GSE135251	gse135251_component_2	31	MTCO1P12
GSE135251	gse135251_component_2	32	TNPO1
GSE135251	gse135251_component_2	33	PPP1CB
GSE135251	gse135251_component_2	34	ARHGAP5
GSE135251	gse135251_component_2	35	WASHC4
GSE135251	gse135251_component_2	36	NR1D2
GSE135251	gse135251_component_2	37	HMGCR
GSE135251	gse135251_component_2	38	LINC01554
GSE135251	gse135251_component_2	39	UGT1A1
GSE135251	gse135251_component_2	40	OXR1
GSE135251	gse135251_component_2	41	HIPK3
GSE135251	gse135251_component_2	42	SCOC
GSE135251	gse135251_component_2	43	SULT1B1
GSE135251	gse135251_component_2	44	SLC25A46
GSE135251	gse135251_component_2	45	ETFRF1
GSE135251	gse135251_component_2	46	UGT1A9
GSE135251	gse135251_component_2	47	NNMT
GSE135251	gse135251_component_2	48	TMEM135
GSE135251	gse135251_component_2	49	SLC1A2
GSE135251	gse135251_component_2	50	HAMP
GSE135251	gse135251_component_2	51	C5ORF24
GSE135251	gse135251_component_2	52	MT1F
GSE135251	gse135251_component_2	53	SLC35F5
GSE135251	gse135251_component_2	54	PTAR1
GSE135251	gse135251_component_2	55	PLSCR4
GSE135251	gse135251_component_2	56	C1QC
GSE135251	gse135251_component_2	57	OSBPL8
GSE135251	gse135251_component_2	58	PLS1
GSE135251	gse135251_component_2	59	EXOC5
GSE135251	gse135251_component_2	60	FCGR3A
GSE135251	gse135251_component_3	1	CHRD
GSE135251	gse135251_component_3	2	DBH-AS1
GSE135251	gse135251_component_3	3	CHRNA4
GSE135251	gse135251_component_3	4	GSDMB
GSE135251	gse135251_component_3	5	MT1F
GSE135251	gse135251_component_3	6	PGGHG
GSE135251	gse135251_component_3	7	KAT2A
GSE135251	gse135251_component_3	8	GSTA2
GSE135251	gse135251_component_3	9	ANGPTL8
GSE135251	gse135251_component_3	10	LOC105377203
