claim_id	dataset_id	outcome	model	effect_type	effect	ci_lower	ci_upper	pvalue	fdr	n
C1	GSE48452	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_1	OR_per_1SD	1.2774728398965907	0.4031631620110167	4.047832268536643	0.6772828795379903	0.7722832658525134	69
C1	GSE48452	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_2	OR_per_1SD	0.33083162931752397	0.1041598808090051	1.050784295323667	0.06065704552950158	0.15597525993300407	69
C1	GSE48452	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_3	OR_per_1SD	0.28543256486516916	0.09583804145076064	0.8500982266772142	0.024343267235316466	0.08763576204713927	69
C1	GSE49541	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_1	OR_per_1SD	1.1431285637488946	0.7148420015932074	1.8280164153004461	0.5765144898240412	0.7722832658525134	72
C1	GSE49541	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_2	OR_per_1SD	0.4795860873873205	0.2711459420386897	0.8482620594877266	0.011549737458779574	0.051973818564508084	72
C1	GSE49541	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_3	OR_per_1SD	0.4479973971085018	0.25330610822047006	0.7923285752008314	0.005777156547190264	0.03466293928314158	72
C1	GSE89632	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_1	OR_per_1SD	1.5973503131930789	0.5803360876720244	4.396638563859255	0.3646019457911329	0.5701529123676674	55
C1	GSE89632	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_2	OR_per_1SD	2.318642865518479	0.5469718847578714	9.828850234595862	0.253774005047659	0.4567932090857862	55
C1	GSE89632	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_3	OR_per_1SD	1.3125631580782198	0.43142160449407807	3.9933606152260235	0.6318590773576322	0.7722832658525134	55
C1	GSE130970	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_1	OR_per_1SD	1.0763191806504904	0.6108909143818664	1.8963499887837436	0.799099052425255	0.8461048790385054	78
C1	GSE130970	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_2	OR_per_1SD	0.7960337620752042	0.47830267845213414	1.324830026907359	0.3801019415784449	0.5701529123676674	78
C1	GSE130970	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_3	OR_per_1SD	0.5994831467386411	0.35955364003143164	0.9995171880119103	0.04977976556213143	0.14933929668639429	78
C1	GSE162694	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_1	OR_per_1SD	2.5019987813192492	1.4457952933037725	4.329795463241791	0.0010472012033092603	0.009424810829783343	112
C1	GSE162694	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_2	OR_per_1SD	0.98384215678405	0.6074295956096029	1.5935104190866474	0.9472112598510979	0.9472112598510979	112
C1	GSE162694	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_3	OR_per_1SD	0.7074105585405747	0.4352751512893801	1.1496858868518123	0.16240532767081195	0.3248106553416239	112
C1	GSE135251	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_1	OR_per_1SD	1.7429672009737491	1.2788207515759942	2.3755750443730075	0.00043691473268873124	0.007864465188397163	216
C1	GSE135251	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_2	OR_per_1SD	0.942886972556107	0.7086664386228679	1.2545194672174116	0.686474014091123	0.7722832658525134	216
C1	GSE135251	advanced_fibrosis_F3plus_vs_F0F2	unadjusted:endotype_3	OR_per_1SD	0.7962830882294001	0.5987011239765617	1.0590705966755014	0.11744883254653697	0.2642598732297082	216
