dataset_id	platform_id	signature	source	doi	outcome	effect_type	effect	ci_lower	ci_upper	pvalue	log_or	se	auc	n	events	fdr
GSE48452	GPL11532	NASH signature	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	24.120816361597733	1.1916153101043223	488.2563835966362	0.03805702499796144	3.1830752171236125	1.5345741974440723	0.98989898989899	69	3	0.08879972499524336
GSE48452	GPL11532	Fibrosis signature	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	47.85082188186785	0.21571006939810713	10614.716138004887	0.16047470391203245	3.868088293966038	2.756075682766393	0.98989898989899	69	3	0.26461920081621626
GSE48452	GPL11532	NAFL signature	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	4.984962598708409	0.9514721279750112	26.117267526699784	0.057285081976393176	1.6064259006190378	0.844985094906131	0.8636363636363635	69	3	0.12444690222457828
GSE48452	GPL11532	Liver aging signature	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	0.81778285642142	0.25687722232289883	2.6034569908893035	0.7334982254470864	-0.2011584343167862	0.5908156163640781	0.40909090909090906	69	3	0.80365892527246
GSE48452	GPL11532	HSC TGF-beta signature	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	24.413051469942857	1.4913894079425143	399.62539555400394	0.02507436190033652	3.195117885602252	1.4262294446888892	0.9696969696969697	69	3	0.06447693060086533
GSE48452	GPL11532	Hepatocytes	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	0.27576874907726223	0.09460136548357757	0.8038827196510154	0.018278830235668342	-1.2881926301327034	0.5458626217390231	0.06565656565656564	69	3	0.051180724659871356
GSE48452	GPL11532	Cholangiocytes	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	6.029421980263778	1.6043054221899469	22.660229725125077	0.007819288667576616	1.7966511488084624	0.6754899207417029	0.9494949494949495	69	3	0.030788449128582928
GSE48452	GPL11532	B cells	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	1.634074480071289	0.5640282959687671	4.734158597192284	0.3655466914544073	0.4910765768379862	0.5427180792975286	0.6262626262626263	69	3	0.48998811833250344
GSE48452	GPL11532	CD4 T-cell signature	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	2.453032338174061	0.9511277477755131	6.326560933797857	0.06340492013867628	0.8973249483015884	0.48338359378422874	0.9090909090909092	69	3	0.1331503322912202
GSE48452	GPL11532	CD8 T-cell signature	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	1.3740250754429177	0.47254187794338814	3.9952964934297244	0.5595777151568398	0.3177444435920845	0.5445782392856446	0.6616161616161617	69	3	0.6589419823342226
GSE48452	GPL11532	Endothelial cells	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	0.8147048079512773	0.26219696040529494	2.531470704591447	0.7231265002610181	-0.20492943018390317	0.578433607241317	0.41414141414141414	69	3	0.7992450792358621
GSE48452	GPL11532	Kupffer cells	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	0.1940377946750414	0.03015769911797591	1.2484594933806248	0.08428239332402702	-1.6397023209807695	0.9498024015120208	0.16666666666666666	69	3	0.16593096185667822
GSE48452	GPL11532	Macrophages	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	1.1621237865727823	0.36719583193224054	3.677960308567659	0.7982534870632998	0.15024918164815948	0.5878107922935923	0.5757575757575758	69	3	0.8452095745376116
GSE48452	GPL11532	Monocytes	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	0.6641722303891472	0.17961583821084096	2.4559345991653743	0.5396609971468918	-0.4092137800235023	0.6672046739538335	0.40909090909090906	69	3	0.6475931965762701
GSE48452	GPL11532	NK cells	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	0.7615943218316404	0.23019226091159153	2.5197454890499698	0.6555065515507287	-0.2723412511109776	0.6104587505740238	0.4393939393939394	69	3	0.7440885179765029
GSE48452	GPL11532	CD14+Monocytes	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	1.6673731195480463	0.6421073524301018	4.329701426513447	0.2936761026854956	0.5112494056865745	0.4868618261910781	0.7424242424242424	69	3	0.420490783390596
GSE48452	GPL11532	CD16+Monocytes	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	0.5943261164676292	0.17623823726293658	2.004238910926613	0.40148784677285443	-0.5203270926522564	0.6201997376522131	0.35353535353535354	69	3	0.5109845322563602
GSE48452	GPL11532	Macrophages C0	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	1.2075766506015664	0.3818345452778627	3.8190399090709004	0.7481495443771635	0.18861558328896072	0.587440548487864	0.5555555555555556	69	3	0.805699509329253
GSE48452	GPL11532	Macrophages C1	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	1.3729895927685298	0.4137593684858232	4.556030788497502	0.6044695884356062	0.316990546836152	0.6119700288353696	0.601010101010101	69	3	0.6987446618613429
GSE48452	GPL11532	Macrophages C2	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	2.0367452442334195	0.5447303570998613	7.615384631752711	0.29042093524603796	0.7113530652278197	0.6728660355074386	0.6919191919191919	69	3	0.420490783390596
GSE48452	GPL11532	Profibrotic Macrophages	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	3.404294782922943	0.9982042332356873	11.61007195037613	0.05033236335532075	1.2250378059401905	0.6259363199115099	0.8434343434343434	69	3	0.11324781754947169
GSE49541	GPL570	NASH signature	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	169.93722434575366	13.295117949988056	2172.1251610531926	7.805977122296732e-05	5.13542910029945	1.3000164305553161	0.971875	72	32	0.0008196275978411569
GSE49541	GPL570	Fibrosis signature	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	253.4987783013651	15.674359696160645	4099.793027974547	9.700875754383554e-05	5.535359003695621	1.4200677381330369	0.9781249999999999	72	32	0.0008730788178945199
GSE49541	GPL570	NAFL signature	He et al. 2023	10.1186/s12967-023-04300-6	advanced_fibrosis_F3plus_vs_F0F2	OR_per_1SD	0.7825905845939718	0.48834389980474036	1.2541326375531996	0.30826804225234583	-0.24514560020846585	0.24060704510168404	0.42109375	72	32	0.43157525915328415
