dataset_id	signature	comparison	pearson_r	pearson_pvalue	spearman_rho	spearman_pvalue	n	pearson_fdr	spearman_fdr
GSE130970	B cells	prior_signature_vs_endotype_1	0.611831010779858	2.664043076906035e-09	0.6463283551891147	1.6467837453193007e-10	78	6.689708170897377e-09	6.002792361970354e-10
GSE130970	CD14+Monocytes	prior_signature_vs_endotype_1	0.30827898832425976	0.006034357537975286	0.14973633960975732	0.1907121304974833	78	0.008742082074246248	0.23944967495795128
GSE130970	CD16+Monocytes	prior_signature_vs_endotype_1	0.6874828596547087	3.6069037157873624e-12	0.6709366582784304	1.8028685170713553e-11	78	1.2350912723756726e-11	7.54533860848382e-11
GSE130970	CD4 T-cell signature	prior_signature_vs_endotype_1	0.5795520337072334	2.7037488636523746e-08	0.5442026328102277	2.6065406111608476e-07	78	6.110472431854366e-08	5.664213251176457e-07
GSE130970	CD8 T-cell signature	prior_signature_vs_endotype_1	0.5250421854384233	8.015356857611234e-07	0.4962252936936481	3.83383142802397e-06	78	1.5095588748501155e-06	7.342761887571332e-06
GSE130970	Cholangiocytes	prior_signature_vs_endotype_1	0.7206451928572615	1.0175939302751406e-13	0.6775376522211964	9.60691814725751e-12	78	4.258819041521884e-13	4.1753144255388405e-11
GSE130970	Endothelial cells	prior_signature_vs_endotype_1	0.6670729365611321	2.5868932788775086e-11	0.5683556949379733	5.7039639156953955e-08	78	8.351969728947386e-11	1.3713785584544248e-07
GSE130970	Fibrosis signature	prior_signature_vs_endotype_1	0.45439269017338163	2.929085708870144e-05	0.3639777943575412	0.0010536267272490147	78	4.7283812157475184e-05	0.0016309564408101187
GSE130970	HSC TGF-beta signature	prior_signature_vs_endotype_1	0.7136338889826138	2.2559190115635123e-13	0.660744318972167	4.620514950813434e-11	78	8.497294943555896e-13	1.8004075497997174e-10
GSE130970	Hepatocytes	prior_signature_vs_endotype_1	0.6321193223300009	5.404259566415073e-10	0.665271437423336	3.0556656374363784e-11	78	1.5658495666792393e-09	1.233179346536824e-10
GSE130970	Kupffer cells	prior_signature_vs_endotype_1	0.5644445958622403	7.355584066608157e-08	0.4762452737136281	1.046811777142214e-05	78	1.5984249990898493e-07	1.8198420125703104e-05
GSE130970	Liver aging signature	prior_signature_vs_endotype_1	0.5624218448526624	8.378717417935743e-08	0.4319351534541407	7.85725562479511e-05	78	1.7864057891070547e-07	0.0001268385550859782
GSE130970	Macrophages	prior_signature_vs_endotype_1	0.5606851339076936	9.363531894226454e-08	0.4774086672820849	9.89033323412943e-06	78	1.9594057482362764e-07	1.7739804054867074e-05
GSE130970	Macrophages C0	prior_signature_vs_endotype_1	0.5728361973543591	4.2450752971929346e-08	0.45049886822038715	3.493038894280596e-05	78	9.405755070251012e-08	5.804608750789814e-05
GSE130970	Macrophages C1	prior_signature_vs_endotype_1	0.657673922356406	6.091882817445088e-11	0.5759683354620063	3.4439695435041854e-08	78	1.8115335746613024e-10	8.46018605252115e-08
GSE130970	Macrophages C2	prior_signature_vs_endotype_1	0.6125892525863702	2.5149533217400954e-09	0.5350472312497628	4.497131761499862e-07	78	6.458857394468882e-09	9.410664612027488e-07
GSE130970	Monocytes	prior_signature_vs_endotype_1	0.5828443907777057	2.159224772294866e-08	0.47662464118160314	1.0276327324239319e-05	78	4.979436719782038e-08	1.8144140431860047e-05
GSE130970	NAFL signature	prior_signature_vs_endotype_1	0.027347032672838743	0.8121390090166856	-0.03296703296703297	0.7744690950869935	78	0.8497380372119024	0.8103241457854653
GSE130970	NASH signature	prior_signature_vs_endotype_1	0.46667800293433	1.6568083415240303e-05	0.388889591421237	0.000433641773564604	78	2.7532256263561088e-05	0.0006805766724000035
