dataset_id	sample_id	signature	score
GSE48452	GSM1178978	Hepatocytes	0.9113459103035593
GSE48452	GSM1178978	Cholangiocytes	0.5327108913912766
GSE48452	GSM1178978	B cells	-1.8540565946850678
GSE48452	GSM1178978	CD4 T-cell signature	-1.7617528004253846
GSE48452	GSM1178978	CD8 T-cell signature	-2.119014395153405
GSE48452	GSM1178978	Endothelial cells	0.13900806280256378
GSE48452	GSM1178978	Kupffer cells	-0.7126310009067597
GSE48452	GSM1178978	Macrophages	-0.8287894003542164
GSE48452	GSM1178978	Monocytes	-1.252204153152921
GSE48452	GSM1178978	NK cells	-2.137952678149454
GSE48452	GSM1178978	CD14+Monocytes	-1.162788596494376
GSE48452	GSM1178978	CD16+Monocytes	-1.5135597990804723
GSE48452	GSM1178978	Macrophages C0	-0.8350303326025138
GSE48452	GSM1178978	Macrophages C1	-0.12925015063419729
GSE48452	GSM1178978	Macrophages C2	-0.7458833001111792
GSE48452	GSM1178978	Profibrotic Macrophages	-0.4820644468763285
GSE48452	GSM1178979	NASH signature	-0.5308000267098631
GSE48452	GSM1178979	Fibrosis signature	-0.38034488412826517
GSE48452	GSM1178979	NAFL signature	-0.10857018290771285
GSE48452	GSM1178979	Liver aging signature	0.009678879233592196
GSE48452	GSM1178979	HSC TGF-beta signature	-1.3871749713905341
GSE48452	GSM1178979	Hepatocytes	0.30759150832814103
GSE48452	GSM1178979	Cholangiocytes	0.2268257526190844
GSE48452	GSM1178979	B cells	-0.3452182459920238
GSE48452	GSM1178979	CD4 T-cell signature	0.34938205699462965
GSE48452	GSM1178979	CD8 T-cell signature	0.23857111300962452
GSE48452	GSM1178979	Endothelial cells	-0.6792181096763046
GSE48452	GSM1178979	Kupffer cells	0.35018322996745993
GSE48452	GSM1178979	Macrophages	-0.037467930005083645
GSE48452	GSM1178979	Monocytes	-0.17885040122756068
GSE48452	GSM1178979	NK cells	-0.42323654077973843
GSE48452	GSM1178979	CD14+Monocytes	-0.35472036643836635
GSE48452	GSM1178979	CD16+Monocytes	1.1565825607374964
GSE48452	GSM1178979	Macrophages C0	0.29150803934369973
GSE48452	GSM1178979	Macrophages C1	0.5696007468515817
GSE48452	GSM1178979	Macrophages C2	-0.5811167321685088
GSE48452	GSM1178979	Profibrotic Macrophages	0.28380713002526503
GSE48452	GSM1178981	NASH signature	-0.2792843500293474
GSE48452	GSM1178981	Fibrosis signature	-0.4301421420438907
GSE48452	GSM1178981	NAFL signature	-0.21434636026419315
GSE48452	GSM1178981	Liver aging signature	0.7337772618249797
GSE48452	GSM1178981	HSC TGF-beta signature	1.3261956776645545
GSE48452	GSM1178981	Hepatocytes	0.585349146737642
GSE48452	GSM1178981	Cholangiocytes	0.16989394058073598
GSE48452	GSM1178981	B cells	-0.19829510452867857
GSE48452	GSM1178981	CD4 T-cell signature	-0.4533593348952866
