dataset_id	platform_id	n_with_stage	n_f3plus
GSE48452	GPL11532	69	3
GSE49541	GPL570	72	32
GSE89632	GPL14951	55	8
GSE130970	GPL16791	78	16
GSE162694	GPL21290	112	20
GSE135251	GPL18573	216	68
