dataset_id	sample_id	endotype_1	endotype_2	endotype_3
GSE48452	GSM1178970	0.47289197958779744	1.005021053660304	0.7471143844743567
GSE48452	GSM1178972	1.844309459746143	1.1954544962161362	1.3172306769780966
GSE48452	GSM1178973	-0.93749687045065	0.15133726502763148	0.2951169128973939
GSE48452	GSM1178974	0.13505032500894573	0.9401575981281826	0.24895435253173548
GSE48452	GSM1178975	-0.18223375792666036	-0.06671627088513223	0.39853189338434614
GSE48452	GSM1178976	1.300163808505801	0.46513559657880704	0.15044376949703436
GSE48452	GSM1178977	0.6535133631878467	1.2330788658028786	1.0533892013200157
GSE48452	GSM1178978	-0.6881157547075606	0.6037220414552414	0.1698017830846471
GSE48452	GSM1178979	0.7965192124297721	0.3173294862715594	0.9391479360467372
GSE48452	GSM1178981	-0.10669259079200609	0.30278637619093823	0.09159908397782494
GSE48452	GSM1178982	0.6248212678722698	0.617572021770701	0.5332851155286615
GSE48452	GSM1178983	0.2269268522821426	0.494176546210973	0.6203273262954139
GSE48452	GSM1178984	1.2208629861705715	1.8280637933655328	1.3950493392678056
GSE48452	GSM1178985	0.5269074762309923	1.3633218265754747	1.0527091990761643
GSE48452	GSM1178986	-1.390409151405931	-0.5259566940219541	-0.35110593266626106
GSE48452	GSM1178987	0.07416837434028514	-0.28092845901669244	-0.41617351835910793
GSE48452	GSM1178988	0.62095230153913	0.24897887056447537	0.1967932739646213
GSE48452	GSM1178989	0.18690470947494503	0.17493956777536318	0.08184050307629279
GSE48452	GSM1178990	-0.3689622886321529	-0.791362078242891	-0.4277140018595037
GSE48452	GSM1178991	-1.1930136193446574	-0.7459428474556815	-0.008508406280091772
GSE48452	GSM1178992	-0.8057491426711578	-0.27182534291874483	-0.40195911897699615
GSE48452	GSM1178993	1.0656142561163333	0.6149673574341669	1.008982405684386
GSE48452	GSM1178995	0.34190255815140674	0.6824113025641119	0.3962750899048089
GSE48452	GSM1178996	-0.4621747680653211	-0.6787633017628626	-0.7135439729850735
GSE48452	GSM1178997	-0.5549608777264903	0.12347239606408252	0.0006377000932994559
GSE48452	GSM1178998	0.08399781072581822	-0.9543277986520822	-1.218382058433293
GSE48452	GSM1178999	0.272562873126691	-1.542449583379352	-0.42294374931163514
GSE48452	GSM1179000	-0.7384376837835295	0.6354699396117557	0.5048681273600015
GSE48452	GSM1179001	0.2898655538887237	-0.8507916325568492	-1.3277131350842188
GSE48452	GSM1179002	-0.184181230474392	-1.7191770425222965	-2.394166033298684
GSE48452	GSM1179003	0.6006272068276189	-0.9723377230354735	-1.0089533621645106
GSE48452	GSM1179004	-0.0012520091765566206	-0.3450631482339831	-0.2156964575544275
GSE48452	GSM1179005	-0.7204029885293508	0.043207043192341935	-0.34295391034312284
GSE48452	GSM1179006	-1.6367567572059563	-1.63305779675531	-1.5381040718924965
GSE48452	GSM1179007	-0.12444133920000507	0.32712060615336774	-0.07584319182145804
GSE48452	GSM1179009	0.7707979421686498	0.25368171492432573	0.2822489645434514
GSE48452	GSM1179010	-1.0898093289159945	-2.631747157366619	-3.487316994525088
GSE48452	GSM1179011	0.6481202146287846	0.4081133039085244	0.8401633479375894
GSE48452	GSM1179012	-1.073137569662785	-0.8330219476680191	-1.077762717791322
GSE48452	GSM1179013	-1.2665707444185161	0.02694703164173914	-0.22121336650049067
GSE48452	GSM1179014	-1.9865170558024876	-1.197931309147998	-1.093280333071729
GSE48452	GSM1179015	-2.086640192364601	-1.293237871223749	-1.4611616903689846
GSE48452	GSM1179016	-2.2075058645754546	-2.0611884980653428	-1.7375863223078307
GSE48452	GSM1179017	-0.451658778488543	-2.569813772838623	-2.0690814361933376
GSE48452	GSM1179018	-1.6606496818960201	-1.2914461920068712	-1.8531956916300902
GSE48452	GSM1179019	-0.15236803082714898	1.836719531398641	1.3518129601838575
GSE48452	GSM1179020	0.6852365767821654	1.248365784067949	1.2298312760127077
GSE48452	GSM1179021	-0.1765329402702427	-1.696314423376401	-0.9517583470121797
GSE48452	GSM1179022	-0.8213980800084622	0.9819928095410011	0.6071444593049327
GSE48452	GSM1179023	-0.6358315302790369	0.7458030868865766	0.6670975173921848
GSE48452	GSM1179024	-1.1248564910195966	0.19737057805605177	0.3533432776345308
GSE48452	GSM1179025	2.1085717106285355	1.2004003739842473	1.4463397599325842
GSE48452	GSM1179026	-0.27685928478150745	-1.1876500631950817	-1.1607366776337782
GSE48452	GSM1179027	1.1101928301584068	0.1328683957754928	0.2998799458668893
GSE48452	GSM1179028	-0.002064089227019511	1.4193848426368116	1.2146643300541136
GSE48452	GSM1179029	-0.5844408785653683	-0.4107123266862049	-0.19744605391677245
GSE48452	GSM1179030	1.6884763434934713	1.1493226016343132	1.2861712325087606
GSE48452	GSM1179031	0.028436560237870584	1.0586883236540723	0.9989623323076001
GSE48452	GSM1179032	-0.5539369056258877	0.3705229731596863	0.3643012899683814
GSE48452	GSM1179033	0.3940092981690293	0.47065407407974996	0.46213402496940953
GSE48452	GSM1179034	-0.9051888466849282	0.0037676397466613397	0.21826522816268457
GSE48452	GSM1179035	1.3624498163555505	-0.10934843166265333	-0.18872105635687036
GSE48452	GSM1179036	1.2160604802646557	0.44667267964598867	0.6544497578540558
GSE48452	GSM1179037	0.6414733451319176	-0.0507372327685936	0.16564232437759238
GSE48452	GSM1179038	-0.30197351057089994	-0.6351597542443868	-0.44582988123551603
GSE48452	GSM1179039	0.4879484118754301	0.31797474331864406	0.6575309606691504
GSE48452	GSM1179040	0.6674538136825009	-0.20288129341495587	0.24764523280701883
GSE48452	GSM1179041	1.7307119931966282	0.9798074795524016	1.2947394373910868
GSE48452	GSM1179042	2.5747189220900464	0.9331079748779014	0.964385755252643
GSE49541	GSM789110	1.380322934442975	0.9437788008962353	0.8109492509591294
GSE49541	GSM789111	0.19381445138926537	-0.1038942875239072	-0.3281429871427436
GSE49541	GSM789112	0.5785462059973298	0.3548660759832365	0.8176835027307946
GSE49541	GSM789113	0.4898500338225964	1.0312983757950376	1.162114184134378
GSE49541	GSM789114	0.21889301276336517	0.12563016805282134	0.49559816363465753
GSE49541	GSM789115	1.1122074549960195	-0.21594673285117072	-0.04403426923786495
GSE49541	GSM789116	-0.47640284010345174	-0.4386938671418744	0.2724755291029468
GSE49541	GSM789117	-0.31800057185637937	0.5332399981660392	0.6552709468352927
GSE49541	GSM789118	0.1965686174327059	0.16521169233112917	0.3482480505042033
GSE49541	GSM789119	0.25482169713342184	-0.4994974475652578	-0.08646489923195015
GSE49541	GSM789120	0.11791427132954418	-0.18443367257539248	-0.2265224631566772
GSE49541	GSM789121	1.0877127170338226	0.9973237260630823	1.1272109306256572
GSE49541	GSM789122	-0.7767668754116543	0.031050742192820394	-0.40214872844916977
GSE49541	GSM789123	-1.3485437462537415	-1.2765589217338529	-1.1257611294669267
GSE49541	GSM789124	-0.15561105436655692	-2.1317302434475143	-0.8994844338176163
GSE49541	GSM789125	0.8755774952621993	0.35225697037486065	0.1804497733993467
GSE49541	GSM789126	0.42684542331651065	1.1230546408655757	0.6892754998799927
GSE49541	GSM789127	0.7495684132434993	-1.4602679635754392	0.07026588314719762
GSE49541	GSM789128	-2.227258376899554	-1.6887203906304833	-2.098982702832217
GSE49541	GSM789129	-0.09068212814621572	0.15168692300197875	-0.41057945620038144
GSE49541	GSM789130	1.0849295335840619	1.272911323041197	1.2845320505996338
GSE49541	GSM789131	-0.3409828890102757	0.505004193383074	0.2609901290374692
GSE49541	GSM789132	-1.1060055890742122	-0.43636709118356276	-0.7916428505610972
GSE49541	GSM789133	-0.6143924431890104	-0.41641142605426956	-0.9403144397646727
GSE49541	GSM789134	-0.48321620501149426	0.4125318339556728	0.2906968348671872
GSE49541	GSM789135	-0.40306871044888715	0.8368121690857333	0.49805987054702566
GSE49541	GSM789136	-1.4557427727371295	-0.0745788439366614	-0.3031498926452729
GSE49541	GSM789137	1.0246049785353153	1.3367082184189207	1.317030360815191
GSE49541	GSM789138	1.4522806594079596	0.5713143014565696	0.8671955121540516
GSE49541	GSM789139	0.9956644601459906	1.1655890453766355	1.2349700592366064
GSE49541	GSM789140	-0.1393775420504848	-0.6673616329020735	-0.9152573779538803
GSE49541	GSM789141	-0.43506988894804366	0.2516756527452055	0.1807088143153372
GSE49541	GSM789142	-0.36158237757015604	0.9267990362354908	0.7447928269189508
GSE49541	GSM789143	-1.3361732945375244	-1.8570762338886537	-1.4290425372017714
