atlas_dataset_id	gene	cell_type	n_cells	mean_expr	pct_expr
GSE115469	PLPP3	Periportal LSECs	327	1.0411924132877899	0.6605504587155964
GSE115469	PLPP3	Plasma Cells	511	0.05656192044922517	0.03718199608610567
GSE115469	PLPP3	Portal endothelial Cells	211	0.7943278021439557	0.6113744075829384
GSE115469	PLPP3	alpha-beta T Cells	961	0.021812448454449004	0.014568158168574402
GSE115469	PLPP3	gamma-delta T Cells 1	464	0.023262900268209392	0.015086206896551725
GSE115469	PLPP3	gamma-delta T Cells 2	105	0.013998384135110037	0.01904761904761905
GSE115469	C8B	Central venous LSECs	306	0.01027519684406667	0.013071895424836602
GSE115469	C8B	Cholangiocytes	119	0.05036322108837737	0.06722689075630252
GSE115469	C8B	Erythroid Cells	93	0.087355758554192	0.03225806451612903
GSE115469	C8B	Hepatic Stellate Cells	37	0.016254407731262414	0.05405405405405406
GSE115469	C8B	Hepatocyte 1	1006	0.8135239338098653	0.5894632206759444
GSE115469	C8B	Hepatocyte 2	909	0.6263217184737702	0.49064906490649063
GSE115469	C8B	Hepatocyte 3	629	1.1207247033407275	0.41812400635930047
GSE115469	C8B	Hepatocyte 4	603	0.9033662490979159	0.439469320066335
GSE115469	C8B	Hepatocyte 5	202	1.0622322875084262	0.7425742574257426
GSE115469	C8B	Hepatocyte 6	152	0.5644308579595465	0.17105263157894737
GSE115469	C8B	Inflammatory Macrophage	813	0.03563878399309637	0.023370233702337023
GSE115469	C8B	Mature B Cells	129	0.01975665536037711	0.015503875968992248
GSE115469	C8B	NK-like Cells	488	0.01739195477767069	0.01639344262295082
GSE115469	C8B	Non-inflammatory Macrophage	379	0.015696965767399932	0.0158311345646438
GSE115469	C8B	Periportal LSECs	327	0.035527104266922044	0.039755351681957186
GSE115469	C8B	Plasma Cells	511	0.032148420635734754	0.025440313111545987
GSE115469	C8B	Portal endothelial Cells	211	0.012213245916988047	0.009478672985781991
GSE115469	C8B	alpha-beta T Cells	961	0.023680548017900767	0.018730489073881373
GSE115469	C8B	gamma-delta T Cells 1	464	0.031098602275396216	0.021551724137931036
GSE115469	C8B	gamma-delta T Cells 2	105	0.003950620832897368	0.009523809523809525
GSE115469	CTSS	Central venous LSECs	306	0.2462256221599828	0.21241830065359477
GSE115469	CTSS	Cholangiocytes	119	0.18777812428835058	0.3025210084033613
GSE115469	CTSS	Erythroid Cells	93	0.059421044844453055	0.021505376344086023
GSE115469	CTSS	Hepatic Stellate Cells	37	0.15110481107557142	0.21621621621621623
GSE115469	CTSS	Hepatocyte 1	1006	0.06452379463088678	0.06560636182902585
GSE115469	CTSS	Hepatocyte 2	909	0.06789066253191042	0.0704070407040704
GSE115469	CTSS	Hepatocyte 3	629	0.13203243108167179	0.06677265500794913
GSE115469	CTSS	Hepatocyte 4	603	0.026829685045909723	0.01824212271973466
GSE115469	CTSS	Hepatocyte 5	202	0.1706659281165293	0.2376237623762376
GSE115469	CTSS	Hepatocyte 6	152	0.1313237030255167	0.039473684210526314
GSE115469	CTSS	Inflammatory Macrophage	813	2.798871927375723	0.9126691266912669
GSE115469	CTSS	Mature B Cells	129	0.6438086869180665	0.3333333333333333
GSE115469	CTSS	NK-like Cells	488	0.3941507835368641	0.2807377049180328
GSE115469	CTSS	Non-inflammatory Macrophage	379	3.137195615781014	0.9525065963060686
GSE115469	CTSS	Periportal LSECs	327	0.1289123787519035	0.16819571865443425
GSE115469	CTSS	Plasma Cells	511	0.4450973353390591	0.30528375733855184
GSE115469	CTSS	Portal endothelial Cells	211	0.14286389304280847	0.15639810426540285
GSE115469	CTSS	alpha-beta T Cells	961	0.35042418609300585	0.23413111342351717
GSE115469	CTSS	gamma-delta T Cells 1	464	0.3615429714835923	0.2025862068965517
GSE115469	CTSS	gamma-delta T Cells 2	105	0.30734650989373524	0.4666666666666667
GSE115469	SELENBP1	Central venous LSECs	306	0.049785875124869004	0.0392156862745098
GSE115469	SELENBP1	Cholangiocytes	119	0.1837332979345522	0.3277310924369748
GSE115469	SELENBP1	Erythroid Cells	93	3.402766304631387	0.6989247311827957
GSE115469	SELENBP1	Hepatic Stellate Cells	37	0.3056500159405373	0.2702702702702703
GSE115469	SELENBP1	Hepatocyte 1	1006	1.4341978146352066	0.8190854870775348
GSE115469	SELENBP1	Hepatocyte 2	909	1.0707231793138716	0.7172717271727173
GSE115469	SELENBP1	Hepatocyte 3	629	1.022564162889611	0.3942766295707472
GSE115469	SELENBP1	Hepatocyte 4	603	1.2707918608564248	0.5671641791044776
GSE115469	SELENBP1	Hepatocyte 5	202	1.0992388804950337	0.7821782178217822
GSE115469	SELENBP1	Hepatocyte 6	152	1.6231606567376538	0.45394736842105265
GSE115469	SELENBP1	Inflammatory Macrophage	813	0.07050738819997396	0.04551045510455105
GSE115469	SELENBP1	Mature B Cells	129	0.02401638631672822	0.015503875968992248
GSE115469	SELENBP1	NK-like Cells	488	0.046851874619233805	0.02663934426229508
GSE115469	SELENBP1	Non-inflammatory Macrophage	379	0.20606093088995497	0.20052770448548812
GSE115469	SELENBP1	Periportal LSECs	327	0.09170464733871844	0.13149847094801223
GSE115469	SELENBP1	Plasma Cells	511	0.0593871557082682	0.04500978473581213
GSE115469	SELENBP1	Portal endothelial Cells	211	0.16985543234653383	0.2037914691943128
GSE115469	SELENBP1	alpha-beta T Cells	961	0.05955735996412065	0.03537981269510926
GSE115469	SELENBP1	gamma-delta T Cells 1	464	0.0688189997755248	0.036637931034482756
GSE115469	SELENBP1	gamma-delta T Cells 2	105	0.02413303681782314	0.047619047619047616
GSE115469	MPC2	Central venous LSECs	306	0.13360202468298618	0.12418300653594772
GSE115469	MPC2	Cholangiocytes	119	0.901467801643019	0.7815126050420168
GSE115469	MPC2	Erythroid Cells	93	1.2059433889645401	0.3655913978494624
GSE115469	MPC2	Hepatic Stellate Cells	37	0.2852917120263383	0.43243243243243246
GSE115469	MPC2	Hepatocyte 1	1006	1.7285389199882568	0.8608349900596421
GSE115469	MPC2	Hepatocyte 2	909	1.4927768147949076	0.8327832783278328
GSE115469	MPC2	Hepatocyte 3	629	0.9968736951605125	0.40381558028616854
GSE115469	MPC2	Hepatocyte 4	603	0.6510362931547276	0.3333333333333333
GSE115469	MPC2	Hepatocyte 5	202	1.0443356189102229	0.6584158415841584
GSE115469	MPC2	Hepatocyte 6	152	2.6799500168938386	0.6907894736842105
GSE115469	MPC2	Inflammatory Macrophage	813	0.16092766767315025	0.13899138991389914
GSE115469	MPC2	Mature B Cells	129	0.160019492687181	0.08527131782945736
GSE115469	MPC2	NK-like Cells	488	0.2601327890011131	0.20901639344262296
GSE115469	MPC2	Non-inflammatory Macrophage	379	0.2541418706993314	0.25065963060686014
GSE115469	MPC2	Periportal LSECs	327	0.1680644494039932	0.2324159021406728
GSE115469	MPC2	Plasma Cells	511	0.3069398239867328	0.2759295499021526
GSE115469	MPC2	Portal endothelial Cells	211	0.18673712135208725	0.24170616113744076
GSE115469	MPC2	alpha-beta T Cells	961	0.32589683215774434	0.2154006243496358
GSE115469	MPC2	gamma-delta T Cells 1	464	0.30447072098995076	0.15948275862068967
GSE115469	MPC2	gamma-delta T Cells 2	105	0.4564729399624325	0.5714285714285714
GSE115469	SERPINC1	Central venous LSECs	306	0.16128923208300583	0.1111111111111111
GSE115469	SERPINC1	Cholangiocytes	119	0.1583531944691634	0.21008403361344538
GSE115469	SERPINC1	Erythroid Cells	93	0.5229459718991352	0.10752688172043011
GSE115469	SERPINC1	Hepatic Stellate Cells	37	0.2587485961817406	0.21621621621621623
GSE115469	SERPINC1	Hepatocyte 1	1006	3.75725376084595	0.9950298210735586
GSE115469	SERPINC1	Hepatocyte 2	909	2.4427271249270675	0.9680968096809681
GSE115469	SERPINC1	Hepatocyte 3	629	3.1961612259829937	0.8823529411764706
GSE115469	SERPINC1	Hepatocyte 4	603	3.7770623464884845	0.9552238805970149
GSE115469	SERPINC1	Hepatocyte 5	202	3.2339135759537765	0.9801980198019802
GSE115469	SERPINC1	Hepatocyte 6	152	3.7511052591236016	0.7828947368421053
GSE115469	SERPINC1	Inflammatory Macrophage	813	0.16442474350791428	0.1033210332103321
GSE115469	SERPINC1	Mature B Cells	129	0.17383752797925195	0.10077519379844961
GSE115469	SERPINC1	NK-like Cells	488	0.2121419098045005	0.14959016393442623
GSE115469	SERPINC1	Non-inflammatory Macrophage	379	0.22919762197459279	0.16358839050131926
GSE115469	SERPINC1	Periportal LSECs	327	0.1459268816385065	0.1651376146788991
GSE115469	SERPINC1	Plasma Cells	511	0.17142314603096584	0.13111545988258316
GSE115469	SERPINC1	Portal endothelial Cells	211	0.09238941745029242	0.11374407582938388
GSE115469	SERPINC1	alpha-beta T Cells	961	0.18415645316909926	0.11654526534859522
GSE115469	SERPINC1	gamma-delta T Cells 1	464	0.19522680393580732	0.10560344827586207
GSE115469	SERPINC1	gamma-delta T Cells 2	105	0.1284420111349651	0.19047619047619047
GSE115469	AGT	Central venous LSECs	306	0.15183788158145606	0.1111111111111111
GSE115469	AGT	Cholangiocytes	119	1.642631818141256	0.9411764705882353
GSE115469	AGT	Erythroid Cells	93	0.8022701778719502	0.1827956989247312
GSE115469	AGT	Hepatic Stellate Cells	37	0.22692641978328293	0.16216216216216217
GSE115469	AGT	Hepatocyte 1	1006	2.7362389899864348	0.9751491053677932
GSE115469	AGT	Hepatocyte 2	909	2.488397987172155	0.966996699669967
GSE115469	AGT	Hepatocyte 3	629	4.15242558158638	0.9634340222575517
GSE115469	AGT	Hepatocyte 4	603	3.2483916318238673	0.9237147595356551
GSE115469	AGT	Hepatocyte 5	202	3.7346378151733095	1.0
GSE115469	AGT	Hepatocyte 6	152	2.1329604336305668	0.5328947368421053
GSE115469	AGT	Inflammatory Macrophage	813	0.19184170976776038	0.12546125461254612
GSE115469	AGT	Mature B Cells	129	0.1840572435726491	0.11627906976744186
GSE115469	AGT	NK-like Cells	488	0.17974366259868027	0.13319672131147542
GSE115469	AGT	Non-inflammatory Macrophage	379	0.29110345032095597	0.16886543535620052
GSE115469	AGT	Periportal LSECs	327	0.17553489807913428	0.1712538226299694
GSE115469	AGT	Plasma Cells	511	0.4621976193572794	0.2759295499021526
GSE115469	AGT	Portal endothelial Cells	211	0.08222814700544163	0.0947867298578199
GSE115469	AGT	alpha-beta T Cells	961	0.1841849233183727	0.10822060353798127
GSE115469	AGT	gamma-delta T Cells 1	464	0.2573814862247171	0.1336206896551724
GSE115469	AGT	gamma-delta T Cells 2	105	0.11543149706863222	0.1523809523809524
GSE115469	SDC1	Central venous LSECs	306	0.02280130534390219	0.02287581699346405
GSE115469	SDC1	Cholangiocytes	119	0.6197556738092118	0.6470588235294118
GSE115469	SDC1	Erythroid Cells	93	0.24886333557867235	0.053763440860215055
GSE115469	SDC1	Hepatic Stellate Cells	37	0.0	0.0
GSE115469	SDC1	Hepatocyte 1	1006	1.2915133311307692	0.7723658051689861
GSE115469	SDC1	Hepatocyte 2	909	1.4745822185927098	0.8272827282728272
GSE115469	SDC1	Hepatocyte 3	629	1.5435224203881475	0.5659777424483307
GSE115469	SDC1	Hepatocyte 4	603	1.8365832377429032	0.7263681592039801
GSE115469	SDC1	Hepatocyte 5	202	1.122434047041553	0.8217821782178217
GSE115469	SDC1	Hepatocyte 6	152	0.746059144798078	0.23026315789473684
GSE115469	SDC1	Inflammatory Macrophage	813	0.039627701887198774	0.02706027060270603
GSE115469	SDC1	Mature B Cells	129	0.012635979541512422	0.007751937984496124
GSE115469	SDC1	NK-like Cells	488	0.03973162320793652	0.02663934426229508
GSE115469	SDC1	Non-inflammatory Macrophage	379	0.023503052370529375	0.0158311345646438
GSE115469	SDC1	Periportal LSECs	327	0.03319548321061907	0.04281345565749235
GSE115469	SDC1	Plasma Cells	511	0.44215697604149523	0.26418786692759294
GSE115469	SDC1	Portal endothelial Cells	211	0.02666505662750859	0.02843601895734597
GSE115469	SDC1	alpha-beta T Cells	961	0.01830892477273693	0.011446409989594173
GSE115469	SDC1	gamma-delta T Cells 1	464	0.03451994626686491	0.015086206896551725
GSE115469	SDC1	gamma-delta T Cells 2	105	0.016259099755968367	0.02857142857142857
GSE115469	APOB	Central venous LSECs	306	0.19787739791901282	0.13725490196078433
GSE115469	APOB	Cholangiocytes	119	0.7370932166065488	0.6386554621848739
GSE115469	APOB	Erythroid Cells	93	1.1686785544759484	0.3118279569892473
GSE115469	APOB	Hepatic Stellate Cells	37	0.08231128067583651	0.10810810810810811
GSE115469	APOB	Hepatocyte 1	1006	3.1258382506920377	0.9771371769383698
GSE115469	APOB	Hepatocyte 2	909	3.12699251081815	0.9922992299229924
GSE115469	APOB	Hepatocyte 3	629	4.331729279603033	0.9825119236883942
GSE115469	APOB	Hepatocyte 4	603	4.161805127588275	0.9701492537313433
GSE115469	APOB	Hepatocyte 5	202	3.9739941464792383	0.9900990099009901
GSE115469	APOB	Hepatocyte 6	152	1.1692881156739436	0.3157894736842105
GSE115469	APOB	Inflammatory Macrophage	813	0.27610112563563743	0.15990159901599016
GSE115469	APOB	Mature B Cells	129	0.2246747132419616	0.10077519379844961
GSE115469	APOB	NK-like Cells	488	0.19994278581904584	0.13319672131147542
GSE115469	APOB	Non-inflammatory Macrophage	379	0.2036306784146694	0.158311345646438
GSE115469	APOB	Periportal LSECs	327	0.2171993013186557	0.2018348623853211
GSE115469	APOB	Plasma Cells	511	0.3620149074104084	0.25048923679060664
GSE115469	APOB	Portal endothelial Cells	211	0.16378482957304372	0.1848341232227488
GSE115469	APOB	alpha-beta T Cells	961	0.23355609184745446	0.14568158168574402
GSE115469	APOB	gamma-delta T Cells 1	464	0.27510989007764847	0.1400862068965517
GSE115469	APOB	gamma-delta T Cells 2	105	0.09722383703504289	0.1523809523809524
GSE115469	ABCG5	Central venous LSECs	306	0.0	0.0
GSE115469	ABCG5	Cholangiocytes	119	0.017874740502413583	0.03361344537815126
GSE115469	ABCG5	Erythroid Cells	93	0.0	0.0
GSE115469	ABCG5	Hepatic Stellate Cells	37	0.0	0.0
GSE115469	ABCG5	Hepatocyte 1	1006	0.17438731949857877	0.17196819085487078
GSE115469	ABCG5	Hepatocyte 2	909	0.20368153224028115	0.1925192519251925
GSE115469	ABCG5	Hepatocyte 3	629	0.12800886113617113	0.05564387917329094
GSE115469	ABCG5	Hepatocyte 4	603	0.338776450548599	0.17744610281923714
GSE115469	ABCG5	Hepatocyte 5	202	0.22878621894829343	0.3069306930693069
GSE115469	ABCG5	Hepatocyte 6	152	0.1303545546374823	0.05263157894736842
GSE115469	ABCG5	Inflammatory Macrophage	813	0.001802823933581438	0.0012300123001230013
GSE115469	ABCG5	Mature B Cells	129	0.0	0.0
GSE115469	ABCG5	NK-like Cells	488	0.0024045764422807535	0.0020491803278688526
GSE115469	ABCG5	Non-inflammatory Macrophage	379	0.0	0.0
GSE115469	ABCG5	Periportal LSECs	327	0.0007074218277537495	0.0030581039755351682
GSE115469	ABCG5	Plasma Cells	511	0.0	0.0
GSE115469	ABCG5	Portal endothelial Cells	211	0.0013572255864527554	0.004739336492890996
GSE115469	ABCG5	alpha-beta T Cells	961	0.003736302830302132	0.002081165452653486
GSE115469	ABCG5	gamma-delta T Cells 1	464	0.0	0.0
GSE115469	ABCG5	gamma-delta T Cells 2	105	0.0	0.0
GSE115469	ATP5G3	Central venous LSECs	306	0.3697163172407088	0.3464052287581699
GSE115469	ATP5G3	Cholangiocytes	119	0.7595548256605613	0.7647058823529411
GSE115469	ATP5G3	Erythroid Cells	93	0.6238462524388426	0.23655913978494625
GSE115469	ATP5G3	Hepatic Stellate Cells	37	0.5239333671492499	0.5945945945945946
GSE115469	ATP5G3	Hepatocyte 1	1006	2.2092005036934235	0.9304174950298211
GSE115469	ATP5G3	Hepatocyte 2	909	1.6132536011167091	0.834983498349835
GSE115469	ATP5G3	Hepatocyte 3	629	1.4115783625263099	0.5262321144674086
GSE115469	ATP5G3	Hepatocyte 4	603	1.1965357803586703	0.5190713101160862
GSE115469	ATP5G3	Hepatocyte 5	202	1.0742486167957288	0.7029702970297029
GSE115469	ATP5G3	Hepatocyte 6	152	3.0923237071225516	0.7697368421052632
GSE115469	ATP5G3	Inflammatory Macrophage	813	0.8390419532672065	0.5215252152521526
GSE115469	ATP5G3	Mature B Cells	129	0.43524283725161883	0.26356589147286824
GSE115469	ATP5G3	NK-like Cells	488	0.6780209707432105	0.45491803278688525
GSE115469	ATP5G3	Non-inflammatory Macrophage	379	0.7960975780336083	0.5171503957783641
GSE115469	ATP5G3	Periportal LSECs	327	0.47576903084731614	0.47706422018348627
GSE115469	ATP5G3	Plasma Cells	511	1.72925299382723	0.7338551859099804
GSE115469	ATP5G3	Portal endothelial Cells	211	0.45084335008786186	0.4549763033175355
GSE115469	ATP5G3	alpha-beta T Cells	961	0.6871835755011789	0.41519250780437045
GSE115469	ATP5G3	gamma-delta T Cells 1	464	0.7278136974521752	0.3706896551724138
GSE115469	ATP5G3	gamma-delta T Cells 2	105	0.8918870048863548	0.8095238095238095
GSE115469	COL3A1	Central venous LSECs	306	0.0	0.0
GSE115469	COL3A1	Cholangiocytes	119	0.0	0.0
GSE115469	COL3A1	Erythroid Cells	93	0.0	0.0
GSE115469	COL3A1	Hepatic Stellate Cells	37	2.2896475292540885	0.8648648648648649
GSE115469	COL3A1	Hepatocyte 1	1006	0.0035808880333872014	0.002982107355864811
GSE115469	COL3A1	Hepatocyte 2	909	0.0025563662332801274	0.0022002200220022
GSE115469	COL3A1	Hepatocyte 3	629	0.0026388185391934007	0.001589825119236884
GSE115469	COL3A1	Hepatocyte 4	603	0.0	0.0
GSE115469	COL3A1	Hepatocyte 5	202	0.0	0.0
GSE115469	COL3A1	Hepatocyte 6	152	0.0	0.0
GSE115469	COL3A1	Inflammatory Macrophage	813	0.0003606706381137374	0.0012300123001230013
GSE115469	COL3A1	Mature B Cells	129	0.0	0.0
GSE115469	COL3A1	NK-like Cells	488	0.0	0.0
GSE115469	COL3A1	Non-inflammatory Macrophage	379	0.0024079177184595595	0.002638522427440633
GSE115469	COL3A1	Periportal LSECs	327	0.06950233411898307	0.07951070336391437
GSE115469	COL3A1	Plasma Cells	511	0.010089145072985535	0.007827788649706457
GSE115469	COL3A1	Portal endothelial Cells	211	0.12932667348057172	0.14218009478672985
GSE115469	COL3A1	alpha-beta T Cells	961	0.0010326710625568117	0.001040582726326743
GSE115469	COL3A1	gamma-delta T Cells 1	464	0.004141857397967371	0.0021551724137931034
GSE115469	COL3A1	gamma-delta T Cells 2	105	0.0	0.0
GSE115469	AOX1	Central venous LSECs	306	0.0685015890528174	0.049019607843137254
GSE115469	AOX1	Cholangiocytes	119	0.06981055601304319	0.08403361344537816
GSE115469	AOX1	Erythroid Cells	93	0.3391765779064548	0.12903225806451613
GSE115469	AOX1	Hepatic Stellate Cells	37	0.20258804430832733	0.08108108108108109
GSE115469	AOX1	Hepatocyte 1	1006	1.5298550931466504	0.827037773359841
GSE115469	AOX1	Hepatocyte 2	909	1.8165198125527113	0.9240924092409241
GSE115469	AOX1	Hepatocyte 3	629	1.4641318516435609	0.548489666136725
GSE115469	AOX1	Hepatocyte 4	603	1.638762233565696	0.6567164179104478
GSE115469	AOX1	Hepatocyte 5	202	1.8038634542781529	0.8861386138613861
GSE115469	AOX1	Hepatocyte 6	152	1.4434541428559704	0.4144736842105263
GSE115469	AOX1	Inflammatory Macrophage	813	0.07623512476572691	0.05166051660516605
GSE115469	AOX1	Mature B Cells	129	0.09713112892106522	0.05426356589147287
GSE115469	AOX1	NK-like Cells	488	0.06712265214959129	0.0430327868852459
GSE115469	AOX1	Non-inflammatory Macrophage	379	0.05904467124737661	0.052770448548812667
GSE115469	AOX1	Periportal LSECs	327	0.05956656324024959	0.0672782874617737
GSE115469	AOX1	Plasma Cells	511	0.07447792028319346	0.05675146771037182
GSE115469	AOX1	Portal endothelial Cells	211	0.020956688564959296	0.052132701421800945
GSE115469	AOX1	alpha-beta T Cells	961	0.06627267530879914	0.04266389177939646
GSE115469	AOX1	gamma-delta T Cells 1	464	0.13848309707025003	0.06465517241379311
GSE115469	AOX1	gamma-delta T Cells 2	105	0.007473729621796381	0.01904761904761905
GSE115469	FN1	Central venous LSECs	306	0.03911971110923618	0.029411764705882353
GSE115469	FN1	Cholangiocytes	119	0.1202787825790774	0.15966386554621848
GSE115469	FN1	Erythroid Cells	93	0.21933907975432693	0.06451612903225806
GSE115469	FN1	Hepatic Stellate Cells	37	1.212937438810194	0.6756756756756757
GSE115469	FN1	Hepatocyte 1	1006	1.9201253627095498	0.8906560636182903
GSE115469	FN1	Hepatocyte 2	909	2.1708811556283134	0.9493949394939494
GSE115469	FN1	Hepatocyte 3	629	1.5257307954357615	0.5516693163751988
GSE115469	FN1	Hepatocyte 4	603	2.442749921065658	0.835820895522388
GSE115469	FN1	Hepatocyte 5	202	2.1120829151408507	0.9158415841584159
GSE115469	FN1	Hepatocyte 6	152	0.26573739161616877	0.09210526315789473
GSE115469	FN1	Inflammatory Macrophage	813	0.1276337993394258	0.07011070110701106
GSE115469	FN1	Mature B Cells	129	0.0743884143903274	0.046511627906976744
GSE115469	FN1	NK-like Cells	488	0.06557593775577232	0.0471311475409836
GSE115469	FN1	Non-inflammatory Macrophage	379	0.07864359123411153	0.055408970976253295
GSE115469	FN1	Periportal LSECs	327	0.5347453345763938	0.3853211009174312
GSE115469	FN1	Plasma Cells	511	0.05587900889246431	0.05283757338551859
GSE115469	FN1	Portal endothelial Cells	211	0.05467364283817074	0.05687203791469194
GSE115469	FN1	alpha-beta T Cells	961	0.06491779332106369	0.04162330905306972
GSE115469	FN1	gamma-delta T Cells 1	464	0.05528990487600195	0.03017241379310345
GSE115469	FN1	gamma-delta T Cells 2	105	0.03352878661382766	0.0380952380952381
GSE115469	FBLN2	Central venous LSECs	306	0.0	0.0
GSE115469	FBLN2	Cholangiocytes	119	0.0	0.0
GSE115469	FBLN2	Erythroid Cells	93	0.0	0.0
GSE115469	FBLN2	Hepatic Stellate Cells	37	0.14382849271233017	0.16216216216216217
GSE115469	FBLN2	Hepatocyte 1	1006	0.0003637392999637672	0.0009940357852882703
GSE115469	FBLN2	Hepatocyte 2	909	0.0007896303343694202	0.0011001100110011
GSE115469	FBLN2	Hepatocyte 3	629	0.0	0.0
GSE115469	FBLN2	Hepatocyte 4	603	0.0	0.0
GSE115469	FBLN2	Hepatocyte 5	202	0.0	0.0
GSE115469	FBLN2	Hepatocyte 6	152	0.0	0.0
GSE115469	FBLN2	Inflammatory Macrophage	813	0.0038920616385095088	0.004920049200492005
GSE115469	FBLN2	Mature B Cells	129	0.0	0.0
GSE115469	FBLN2	NK-like Cells	488	0.0042954344974189505	0.004098360655737705
GSE115469	FBLN2	Non-inflammatory Macrophage	379	0.006249560215227837	0.005277044854881266
GSE115469	FBLN2	Periportal LSECs	327	0.19909903571146345	0.21712538226299694
GSE115469	FBLN2	Plasma Cells	511	0.0007336417289629375	0.0019569471624266144
GSE115469	FBLN2	Portal endothelial Cells	211	0.37030199184236934	0.3886255924170616
GSE115469	FBLN2	alpha-beta T Cells	961	0.002437024161173079	0.002081165452653486
GSE115469	FBLN2	gamma-delta T Cells 1	464	0.00843296790945119	0.004310344827586207
GSE115469	FBLN2	gamma-delta T Cells 2	105	0.0	0.0
GSE115469	MST1	Central venous LSECs	306	0.03299041277442882	0.03594771241830065
GSE115469	MST1	Cholangiocytes	119	0.12302851395196274	0.20168067226890757
GSE115469	MST1	Erythroid Cells	93	0.24346836920707457	0.0967741935483871
GSE115469	MST1	Hepatic Stellate Cells	37	0.12180093816808753	0.02702702702702703
GSE115469	MST1	Hepatocyte 1	1006	0.8108961370368127	0.5934393638170974
GSE115469	MST1	Hepatocyte 2	909	0.6370630055764327	0.5181518151815182
GSE115469	MST1	Hepatocyte 3	629	1.1937637716673895	0.4276629570747218
GSE115469	MST1	Hepatocyte 4	603	1.8347424481243242	0.7213930348258707
GSE115469	MST1	Hepatocyte 5	202	1.797568819015333	0.9257425742574258
GSE115469	MST1	Hepatocyte 6	152	0.34651747502778707	0.09868421052631579
GSE115469	MST1	Inflammatory Macrophage	813	0.06242718768442396	0.04059040590405904
GSE115469	MST1	Mature B Cells	129	0.05780446483183277	0.031007751937984496
GSE115469	MST1	NK-like Cells	488	0.030385948839734812	0.022540983606557378
GSE115469	MST1	Non-inflammatory Macrophage	379	0.02078613096302606	0.0079155672823219
GSE115469	MST1	Periportal LSECs	327	0.03464040032585097	0.045871559633027525
GSE115469	MST1	Plasma Cells	511	0.07937593868917216	0.04892367906066536
GSE115469	MST1	Portal endothelial Cells	211	0.034796445308279654	0.05687203791469194
GSE115469	MST1	alpha-beta T Cells	961	0.03490395594337852	0.022892819979188347
GSE115469	MST1	gamma-delta T Cells 1	464	0.05119908703812238	0.03017241379310345
GSE115469	MST1	gamma-delta T Cells 2	105	0.019067647343590146	0.0380952380952381
