atlas_dataset_id	gene	cell_type	n_cells	mean_expr	pct_expr
GSE115469	HMGCL	Central venous LSECs	306	0.12443811188336291	0.11764705882352941
GSE115469	HMGCL	Cholangiocytes	119	0.14578588475950627	0.24369747899159663
GSE115469	HMGCL	Erythroid Cells	93	0.08484844174436344	0.043010752688172046
GSE115469	HMGCL	Hepatic Stellate Cells	37	0.04471416127037357	0.10810810810810811
GSE115469	HMGCL	Hepatocyte 1	1006	0.5796844519926587	0.47912524850894633
GSE115469	HMGCL	Hepatocyte 2	909	0.42255171674444075	0.38063806380638066
GSE115469	HMGCL	Hepatocyte 3	629	0.5518061192691421	0.22257551669316375
GSE115469	HMGCL	Hepatocyte 4	603	0.44251780594957013	0.23051409618573798
GSE115469	HMGCL	Hepatocyte 5	202	0.43084960452990956	0.5099009900990099
GSE115469	HMGCL	Hepatocyte 6	152	0.9435680818400884	0.2894736842105263
GSE115469	HMGCL	Inflammatory Macrophage	813	0.10469054932010716	0.07257072570725707
GSE115469	HMGCL	Mature B Cells	129	0.11521491154219753	0.06201550387596899
GSE115469	HMGCL	NK-like Cells	488	0.08431476403455265	0.06147540983606557
GSE115469	HMGCL	Non-inflammatory Macrophage	379	0.07842976075049125	0.055408970976253295
GSE115469	HMGCL	Periportal LSECs	327	0.06981450916247994	0.10703363914373089
GSE115469	HMGCL	Plasma Cells	511	0.05767012875957265	0.06457925636007827
GSE115469	HMGCL	Portal endothelial Cells	211	0.10210016947151361	0.12796208530805686
GSE115469	HMGCL	alpha-beta T Cells	961	0.09695890632678021	0.06763787721123829
GSE115469	HMGCL	gamma-delta T Cells 1	464	0.11153222492028927	0.0603448275862069
GSE115469	HMGCL	gamma-delta T Cells 2	105	0.06243890381994702	0.14285714285714285
GSE115469	PLPP3	Central venous LSECs	306	1.8413802447661856	0.8398692810457516
GSE115469	PLPP3	Cholangiocytes	119	0.12194265287463404	0.18487394957983194
GSE115469	PLPP3	Erythroid Cells	93	0.05512812829786731	0.010752688172043012
GSE115469	PLPP3	Hepatic Stellate Cells	37	0.1681670518340291	0.16216216216216217
GSE115469	PLPP3	Hepatocyte 1	1006	0.4434128648362624	0.38469184890656066
GSE115469	PLPP3	Hepatocyte 2	909	0.44814526254456694	0.38063806380638066
GSE115469	PLPP3	Hepatocyte 3	629	0.24302377969926794	0.10969793322734499
GSE115469	PLPP3	Hepatocyte 4	603	0.45601918487801874	0.23217247097844113
GSE115469	PLPP3	Hepatocyte 5	202	0.2811256577767948	0.4158415841584158
GSE115469	PLPP3	Hepatocyte 6	152	0.18145983077977834	0.07236842105263158
GSE115469	PLPP3	Inflammatory Macrophage	813	0.054768339184377464	0.041820418204182044
GSE115469	PLPP3	Mature B Cells	129	0.0	0.0
GSE115469	PLPP3	NK-like Cells	488	0.01159255817288258	0.00819672131147541
GSE115469	PLPP3	Non-inflammatory Macrophage	379	0.19488757408388688	0.15567282321899736
