signature	rank	gene	source	doi	source_table
HSC TGF-beta signature	18	BHLHE40	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	19	RCN3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	20	SPARC	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	21	UBE2V2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	22	SURF4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	23	NDEL1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	24	GMPPB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	25	PLCB4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	26	LMO7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	27	LRRC59	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	28	PLEK2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	29	SEC23A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
HSC TGF-beta signature	30	SKIL	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	1	ACSM2A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	2	CYP3A5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	3	ADRA1A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	4	ACSM2B	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	5	PLG	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	6	PCSK6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	7	GHR	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	8	CUX2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	9	ALDOB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	10	C5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	11	SLC38A4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	12	C9	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	13	PPARGC1A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	14	C4BPA	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	15	PCK1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	16	KNG1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	17	ABCB4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	18	HGD	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	19	AGMO	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	20	CYP3A4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	21	HRG	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	22	F5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	23	AOX1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	24	SLC39A14	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	25	SLC7A2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	26	FABP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	27	CRP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	28	BHMT	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	29	LBP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Hepatocytes	30	HPX	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	1	DEFB1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	2	TM4SF4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	3	KRT8	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	4	AMBP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	5	VTN	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	6	SPP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	7	GC	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	8	FXYD2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	9	KRT7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	10	KRT18	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	11	AGT	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	12	CLDN10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	13	RBP4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	14	CD24	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	15	KRT19	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	16	LGALS4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	17	EPCAM	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	18	MMP7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	19	TACSTD2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	20	ELF3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	21	CLDN3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	22	SLPI	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	23	CA2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	24	TNFRSF12A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	25	CXCL1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	26	CXCL6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	27	AKR1C1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	28	FGGY	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	29	FGG	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Cholangiocytes	30	SH3YL1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	1	CD79A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	2	MS4A1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	3	TCL1A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	4	CD79B	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	5	VPREB3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	6	BANK1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	7	IGHD	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	8	SPIB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	9	FCER2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	10	CD22	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	11	FCRLA	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	12	TNFRSF13C	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	13	HLA-DOB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	14	FAM129C	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	15	KIAA0125	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	16	BLK	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	17	CD19	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	18	CCR7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	19	FCMR	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	20	P2RX5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	21	RALGPS2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	22	HVCN1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	23	ARHGAP24	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	24	SELL	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	25	BCL11A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	26	ADAM28	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	27	GAPT	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	28	NCF1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	29	CYB561A3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
B cells	30	POU2F2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	1	LTB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	2	TRAC	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	3	IL7R	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	4	CD3D	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	5	TRBC2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	6	CD2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	7	CD3E	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	8	TRBC1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	9	CD40LG	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	10	CD3G	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	11	ACAP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	12	LCK	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	13	SPOCK2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	14	SIT1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	15	LAT	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	16	RHOH	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	17	TRAF3IP3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	18	TRAT1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	19	GPR171	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	20	FLT3LG	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	21	CD27	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	22	MAL	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	23	CCR7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	24	RCAN3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	25	BCL11B	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	26	CD6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	27	CLEC2D	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	28	GPR183	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	29	ARHGAP15	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD4 T-cell signature	30	TBC1D10C	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	1	GZMK	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	2	CD3D	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	3	TRAC	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	4	GZMH	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	5	CD8A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	6	CD3E	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	7	CD2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	8	TRGC2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	9	CD8B	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	10	TRBC2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	11	GZMA	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	12	CD3G	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	13	CTSW	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	14	LCK	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	15	CST7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	16	GPR171	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	17	KLRG1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	18	IFNG	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	19	ACAP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	20	GZMM	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	21	TRBC1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	22	SH2D1A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	23	LAG3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	24	CXCR6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	25	RHOH	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	26	GRAP2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	27	PTPN7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	28	LAT	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	29	PRF1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
CD8 T-cell signature	30	SIT1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	1	FCN3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	2	CRHBP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	3	SLC9A3R2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	4	RAMP2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	5	CLEC14A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	6	CLDN5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	7	SPARCL1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	8	PLVAP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	9	PLPP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	10	VWF	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	11	CCL14	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	12	RNASE1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	13	HSPG2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	14	SPARC	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	15	NPDC1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	16	PLPP3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	17	TIMP3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	18	EGFL7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	19	PCAT19	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	20	SDPR	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	21	RBP7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	22	RAMP3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	23	EMCN	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	24	FLT1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	25	IL33	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	26	LDB2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	27	CAV1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	28	SPRY1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	29	TSPAN7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Endothelial cells	30	HYAL2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	1	C1QC	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	2	CD5L	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	3	MARCO	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	4	CD163	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	5	MS4A7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	6	CFD	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	7	HMOX1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	8	FOLR2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	9	SDC3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	10	FCGR3A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	11	CETP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	12	CD68	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	13	CPVL	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	14	MS4A4A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	15	VCAM1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	16	AXL	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	17	VSIG4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	18	FGL2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	19	CREG1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	20	CFP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	21	MPEG1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	22	CCL3L3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	23	LILRB5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	24	CYBB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	25	MSR1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	26	VMO1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	27	MRC1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	28	FAM26F	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	29	IGSF6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Kupffer cells	30	GPNMB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	1	FCER1A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	2	CLEC10A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	3	HLA-DMB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	4	HLA-DQA2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	5	CPVL	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	6	GPR183	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	7	RGS10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	8	RNASE6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	9	RGS1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	10	IL1B	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	11	MNDA	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	12	JAML	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	13	SPI1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	14	CD1C	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	15	CD83	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	16	IGSF6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	17	CD68	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	18	LGALS2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	19	PHACTR1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	20	IFI30	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	21	PLD4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	22	VSIG4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	23	PLAUR	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	24	PKIB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	25	LY86	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	26	CD1E	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	27	CAPG	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	28	CLEC7A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	29	FCGR2A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Macrophages	30	CSF2RA	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	1	S100A9	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	2	S100A8	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	3	FCN1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	4	CSTA	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	5	VCAN	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	6	MNDA	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	7	S100A12	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	8	IFI30	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	9	SPI1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	10	LGALS2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	11	CFD	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	12	CYBB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	13	STXBP2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	14	PLAUR	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	15	IL1B	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	16	CLEC12A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Monocytes	17	C5AR1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
