signature	rank	gene	source	doi	source_table
NASH signature	57	TSPAN8	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	58	RGS4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	59	EPCAM	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	60	GZMK	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	61	THBS1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	62	MFAP4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	63	GSN	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	64	ANTXR1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	65	FMO2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	66	DTNA	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	67	GEM	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	68	PRAMEF10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	69	CXCL8	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	70	TC2N	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	71	SVEP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	72	COL3A1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	73	CYR61	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	74	LAMC3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	75	CFTR	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	76	PLCXD3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	77	F13A1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	78	MGP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	79	LGALS3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	80	LOXL4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	81	CXCR4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	82	FAM169A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	83	AEBP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	84	FAP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	85	CAPG	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	86	PLA2G7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	87	GPC3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	88	FGFR2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	89	COL4A1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	90	ANKRD1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	91	SMOC2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	92	F3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	93	CDH6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	94	UPP2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	95	IL7R	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	96	ADAM28	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	97	SRPX2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	98	MAP1B	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	99	PDGFRA	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	100	OLR1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	101	AQP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	102	ANXA13	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	103	TREM2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	104	CCDC80	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	105	SLC1A3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	106	ZMAT3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	107	NFASC	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	108	SLIT2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	109	MMP2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	110	ANXA1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	111	GPRIN3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
